D8R1	D8R2	D8R3	M8R1	M8R2	M8R3	D24R1	D24R2	D24R3	M24R1	M24R2	M24R3
A1BG-AS1	5.83393477014989	5.86393532704474	5.77603127195652	5.80139800770528	5.81241666333085	5.89542052606796	6.12647291903827	6.31118537458963	6.41562428649676	6.44763745244246	6.26292499689106	6.15848608498376
A4GALT	8.20007385524797	7.92863449020774	8.10029976906969	8.55451536793521	8.55849492532936	8.3883540030001	9.14762904040122	9.02271916074421	8.94070499787023	8.90712650416705	9.03203638382403	9.1140505466979
AAAS	10.4964509060527	10.5209161424306	10.5774619391246	10.4465503015405	10.4336840367358	10.3476660740826	10.5884456050364	10.5751373241258	10.5726798779369	10.5775954739807	10.5909037548913	10.5933612010802
AACS	11.0966266906082	10.9573109084044	11.0823540951102	10.9423665334309	10.9920982735205	10.8733363729603	11.7386383209978	11.6085526469947	11.5664127610163	11.5820418250545	11.7121274990576	11.7542673850359
AADAT	8.9755655374711	8.98209904224217	8.89991534694725	8.77656703815489	8.78064156438313	8.92432979628188	8.50872214190164	8.61271133668664	8.65716242174036	8.65901536629685	8.55502617151182	8.51057508645802
AAGAB	11.2360072408724	11.2367793655053	11.1813914357597	11.1158679392065	11.1523225239259	11.1897602454442	10.8907369044157	10.9085034623551	10.9060220268737	10.8831964386664	10.865429880727	10.8679113162083
AAK1	11.5027490873667	11.4158081160843	11.4858756820616	11.4258200819973	11.450712490656	11.3960670437368	11.1604675805299	11.1750525186954	11.2260352180976	11.2936448471391	11.2790599089736	11.2280772095713
AAMDC	7.90936888073551	8.03701034220953	7.89637506814941	7.90645071863551	7.81467030754138	8.04547598889954	8.0353076485383	7.89620148053225	7.88946241742891	7.98894830910846	8.12805447711449	8.13479354021769
AAMP	12.0564542634652	11.9877993776244	12.0615669695616	12.0632828639364	12.1017534112298	11.981603842425	12.3554723426862	12.2722864007542	12.2669774210988	12.3228464240481	12.40603236598	12.4113413456354
AAR2	11.4964420517239	11.5085460789749	11.4961833003076	11.4676214148671	11.5241193098619	11.4372492309141	11.3102894296623	11.2890694548111	11.2893084077256	11.3082190937428	11.3294390685941	11.3292001156795
AARD	4.96960256851382	5.40361450996673	5.04301266003863	5.31703163412908	5.36716139656312	5.33914807784956	4.99614118475772	4.99179937503238	4.9353124299304	4.83270274104071	4.83704455076604	4.89353149586794
