D8R1	D24R3	D24R2	D8R3	D8R2	D24R1	M24R3	M8R2	M8R1	M8R3	M24R2	M24R1
A1BG-AS1	6.00359327880004	6.08321103649053	5.89262431383387	5.57136393495432	6.10841967827713	5.25030158027531	5.75642461895367	5.62747538314903	5.9771371243834	5.72916560906408	5.71466075734984	5.77944016229275
A4GALT	8.56666457887978	8.40457683870668	8.69639795867651	7.83572033743715	7.82015734780751	8.68241354747022	8.82381926487664	8.52722213885323	8.86465546803838	8.12685533672049	8.59761628071785	8.49031602462713
AAAS	10.4587111466892	10.5267040099529	10.575443363875	10.6265019861791	10.5573462335157	10.3596587063315	10.5868495272791	10.4484440253822	10.4189303508084	10.3175541037859	10.5666674235515	10.3701423014976
AACS	11.1505494007232	10.9247012005574	11.047734759547	11.0833810797682	10.937667215806	11.0249097262443	11.4224000466175	10.9543549025553	11.0041210811917	10.8056234622673	10.9791162216508	11.0024463566631
AADAT	8.75491801004973	8.85094291173062	8.64214118875401	9.10213106248076	8.87751390332684	8.46396129654912	8.57211278287026	8.86718086955678	8.57089607231733	9.12624696704817	8.60698415491617	8.62765484793074
AAGAB	11.1946839717606	10.9269220636934	10.9924924634483	11.2016380978283	11.2752219644202	10.9804487351264	10.8421203998451	11.1680294139819	11.0680297175846	11.2098348385057	10.9685434801559	10.9577549300564
AAK1	11.4669633028635	11.3871951652475	11.244099354507	11.5509783458379	11.3161694189409	11.3429360215623	11.3551378785625	11.4948995070425	11.3894223129046	11.4388181955448	11.3722606454405	11.4888664767521
AAMDC	7.79305501248511	7.96815534449084	8.14025942699342	7.99661912330371	8.06404102679773	8.2446952647497	8.36905747147526	7.78002417075249	7.79074099603887	8.15559296382588	8.39341202986775	8.14567052044579
AAMP	12.1343023420264	11.9800058341136	11.9752756370351	11.9848976537561	12.0084212012847	11.890792473612	12.3282687529801	12.1041651567459	12.1397487837851	11.8988143737774	12.0091703985641	11.9392334539241
AAR2	11.5248123365819	11.3376530210856	11.3409187718224	11.4312967973464	11.6213843204424	11.3214265884519	11.4007051087223	11.5502628206514	11.5002824016338	11.3364054156404	11.3869266235259	11.3089303927877
AARD	4.70417025365143	5.1972471072045	5.86656636801193	4.94884338941417	5.74688306004357	5.73521914369431	4.97230499150889	5.72712520199147	5.15040277584795	5.3078431557329	5.87522468106506	5.37024423069847
AARS1	12.4911038310911	12.5119618530936	12.4454712941285	12.5877569289953	12.5344567288186	12.4594152140788	12.4627034101825	12.4752204955205	12.4662925514677	12.3947937475999	12.5062511704208	12.4821115855922
AARS2	10.231395890126	10.0241515178672	9.94009615014868	10.1102273702951	9.684136241537	9.8707440091052	10.4889547778281	10.0603845302424	10.2182789725819	10.039948883906	10.0259167118256	10.0137936591355
AARSD1	6.55236494488851	6.22364111500051	5.86656636801193	6.69998018465785	6.2322428970444	5.95066291594877	6.27573829478287	6.27874265968338	6.37244252497643	6.49423658052697	5.95461240837961	6.18503055122613
AASDH	9.61999214412078	9.69302536598276	9.64579818673636	9.66340854991866	9.7831081761211	9.71579881077337	9.39307321781668	9.58348895331576	9.56019400082551	9.78740469513662	9.65337424818998	9.77659487354112
AASDHPPT	11.5267069983487	11.6690399957562	11.4805870584352	11.7154451029321	11.7460855918347	11.5820766565128	11.3173708690982	11.6235645397924	11.5144759315409	11.8494900137524	11.5419651674945	11.601154621429
AASS	10.5334448188477	10.6532196043031	10.3685670540776	10.616006036814	10.1221195821713	10.6322688249691	10.4178052602097	10.2291152985432	10.4055062320349	10.565996544045	10.4181659933629	10.7235374367846
AATF	10.9210548357933	10.5943091447139	10.5470610831218	10.8738470988965	10.9932246289049	10.4576789119499	10.3241712463132	10.8139480541671	10.7200491487001	10.9577549300564	10.5564334539647	10.4239604102844
ABALON	6.02943551970461	6.97146425246919	7.20983624862311	5.30677683878635	5.50799335928382	7.03004118818225	6.21125200388758	5.97917056193144	6.45552980704749	5.69090339247109	7.26653516557278	6.97201764855765
ABCA1	10.6165858299854	11.3727584250649	11.0230252891178	11.0970625736291	10.5368671549654	11.1015557053464	11.1231776419233	10.3547939638464	10.6998778259012	10.8661327034747	11.0927147762491	11.1515651142905
ABCA11P	6.82217881096591	6.68533863665778	6.44459460157843	7.14609204722881	7.09232263896983	6.70700284673074	5.33089755003751	6.7253032399929	6.91872826322901	7.19472540745083	6.49423658052697	6.60794458312967
ABCA2	10.330504368266	10.6098512167857	10.6752029354929	9.93757930926347	9.50027765248246	10.7079312356989	11.0823008556032	10.2313456587584	10.6501691477533	9.96800772478012	10.7567045816642	10.6887640294469
ABCA3	8.96507221605146	9.09888360715017	9.00618533881855	8.51358415105791	8.56500323857033	8.92819514317432	9.35326672074541	8.70906966973728	8.94760635578852	8.47561632185404	8.98686228691743	8.910401131759
ABCA5	9.16496688433416	9.31469253720188	8.92681570195332	9.4191837275402	9.13129797494599	9.18344616324891	8.76883265085817	9.18630760144407	8.99877332725429	9.44333063901669	9.23020301192294	9.33127094329515
ABCA7	8.88680146522992	9.16507812617138	9.16727459673075	8.59692983165307	7.82542009224824	9.30783645866377	9.63439337488251	8.81000235066869	9.18225927194903	8.7894353170715	9.14947181035414	9.31441521833287
ABCB10	10.7171200921022	10.9553009752548	10.743813207743	10.8827429744786	10.9602552364281	10.7457323087817	10.0228279535143	10.793744019461	10.7246155890881	10.8832246376491	10.69591826173	10.7416306034346
ABCB6	6.93881895030954	6.62428898653086	6.80856497646779	7.10224562179429	6.64367943781606	7.019010256778	7.35295921499765	6.9499552580706	6.9369995526908	6.65434404749885	7.02645615104472	7.01186671994378
ABCB7	10.5001523748212	10.5051122221056	10.4647992259131	10.551183519449	10.576944126096	10.5123457957334	10.5976800127238	10.4571646150962	10.3410716669149	10.6131360999229	10.4195592448798	10.4342529787512
ABCB8	10.7780150183813	10.5134062306275	10.6611085525298	10.3931314645094	10.1388675011325	10.6272660449331	10.9091163797144	10.6418975907123	10.8986699693817	10.3034642486571	10.6617834645587	10.6498233952367
ABCB9	8.87349195937258	9.20322957252207	9.41821874343814	8.73608026015713	8.62305794109192	9.13303590773846	9.54821343496796	8.97329280001338	8.96523844439728	8.95709497783527	9.36016266734675	9.10236257903624
ABCC1	9.83374930909938	9.76586614251234	9.71505121833037	9.82904402064639	9.73326559186764	9.56240375906934	10.4659328380799	9.80212342962031	9.70008706777936	9.68474954497399	9.88962693818018	9.70885527079998
ABCC10	10.3784432528139	10.306695640504	10.3124157199642	10.244482514211	9.98409556017459	10.2611800052179	10.8015578957708	10.4882596070114	10.6189829472479	9.98929837842079	10.4945082107182	10.4360103996846
ABCC2	6.65291065514809	6.62428898653086	6.24240494390448	7.0101125354303	6.80565679755343	6.11358868881867	7.08791937770002	6.67969892928594	6.50455940409276	6.41915292728784	6.29400378325919	6.26350597549564
ABCC3	11.3327816415446	11.3558972136305	11.2205077963307	10.9446706621943	10.6641566420985	11.5502628206514	11.6753823187302	10.9810960459295	11.4127164438683	10.6438942212555	11.3645712101812	11.6574431187313
ABCC4	11.2404868348855	11.1987411788544	11.1570924401289	11.2494999411297	11.2105674801699	11.1785948157715	11.1422673539301	11.1605064693824	11.178262560159	11.3350100955991	11.2256155055139	11.2432745136403
ABCC5	11.1118838182343	10.9952136002459	10.794777700548	11.3281034999267	10.9017417852418	10.8615877375361	11.2121063492874	11.1101694029938	11.1280742525757	11.0206274100247	10.9569350531894	11.0876505103954
ABCD1	9.30120026173053	9.60402576535853	9.73788656544352	8.84411570165353	8.68838085073991	9.58135934282326	10.0738328196205	9.21863601283907	9.48599122340426	8.94266126872415	9.63695197195345	9.63332549284817
ABCD3	12.2549534173146	12.4272561923135	12.2769868366245	12.362951863958	12.351368356893	12.3435923265141	12.0762723593498	12.3296574597037	12.2020068778039	12.5361261339004	12.2657118775972	12.2975057528095
ABCD4	11.3348723823636	11.4721906794996	11.3986285404352	11.4526778037383	11.2747466800791	11.5262980660396	11.6616327899476	11.4577409349448	11.5052995090328	11.1222131161456	11.5590488498282	11.5672084228675
ABCE1	12.9123444804931	12.893456199712	12.6652302752584	13.0662410774558	13.2341694699988	12.6717460310367	12.2887189236877	13.0130570853035	12.9392269178183	13.1793634581147	12.7115524467009	12.7028457092647
ABCF1	11.815049700658	11.5476818555221	11.6574431187313	11.6577964223779	11.7204202467736	11.5934145704055	11.9188085257675	11.6879013790985	11.7056798110037	11.8312687601503	11.616763646788	11.5287959620959
ABCF2	12.9802672251336	12.6114806673705	12.6915848112014	12.878478901097	12.9924209236579	12.5750314753479	12.9892959611109	12.9123444804931	12.9482093867995	12.8128681777473	12.6391958716577	12.600858482244
ABCF3	11.8276301409606	11.632174726298	11.6347865907132	11.6717039994659	11.7521316701253	11.5674760585495	11.9344132147762	11.7382849331652	11.6970234526687	11.4786584231034	11.6500803955695	11.5945781442829
ABCG2	9.45143585263661	9.09358298157614	8.8773480952807	9.27081909444157	9.41757245697065	9.2157587991837	9.17459305978143	9.15081847652457	9.38452367291674	9.29584189423894	8.81492557291207	9.14745298751012
ABCG4	5.291438304792	4.82737877941442	4.62835654832863	5.15040277584795	5.06089011566851	5.06338836443415	5.20369860914578	5.41101300753836	5.60367069578052	5.01616804770418	4.92483221230361	4.69346231018714
ABHD10	11.0753920775626	11.0942148053091	11.0555995065785	11.0833810797682	11.1982224525352	11.2322184261212	10.8756161644614	11.1027510387185	10.9784224020273	11.2270092819285	10.9166765050095	11.1309681354005
ABHD11	10.0319230532733	9.66503718408199	9.68211665261416	9.79113858596669	9.82548756909371	9.63067805064559	9.92269016018797	9.85114114359075	9.9487941465022	9.59779075636341	9.66231139023984	9.60084987378282
ABHD12	11.7495096199884	11.4680172642453	11.6839327235859	11.5714023018751	11.5091926402317	11.7385950243366	11.9800058341136	11.582670824922	11.7898323113144	11.4763336122373	11.5783708591048	11.7245999443043
ABHD13	9.84382433890656	9.99411619540108	9.76639278009549	10.0017530249211	10.1256522853446	9.85367927913661	9.40208855240465	9.8757204314957	9.7337127451057	10.0631259041823	9.7021147139731	9.69519428617773
ABHD14A	8.87622020660897	8.69355059426544	8.84950572636419	8.71015760128735	8.73714221948777	8.76948023123838	9.59901934137041	8.90226703230125	8.98962245832069	8.46982388634722	8.7827287902821	8.69270183547169
ABHD14B	10.4290278462015	10.4600290432044	10.4134040030122	10.3573446875545	10.3915117964196	10.4859713895462	10.4400882497263	10.3054531687236	10.555021065148	10.0093574905337	10.3649681853176	10.3926506579207
ABHD15	10.1145881480376	9.88073511003486	9.98889460443646	9.96696418949907	10.0209773446898	9.93202599811865	9.64733051678177	9.9058657743349	10.0232959586926	9.86894275205939	9.83594776989001	9.97977983533861
