Sample_ID	Msrt_Day	Msrt_Order	Msrt_Date	Msrt_Time	Group	Organism	Cell_Line	Cell_Number	Time_point	Treatment
R4_48M	1	1	23/07/2018	19:40	MKC8866_48	Human Breast Cancer Cell line	MDA_MB_231	15000000	48 hour	MKC8866
R6_24D	1	2	23/07/2018	20:29	DMSO_24	Human Breast Cancer Cell line	MDA_MB_231	28000000	24 hour	DMSO
R1_06D	1	3	23/07/2018	21:19	DMSO_6	Human Breast Cancer Cell line	MDA_MB_231	6750000	6 hour	DMSO
R3_12M	1	4	23/07/2018	22:08	MKC8866_12	Human Breast Cancer Cell line	MDA_MB_231	17000000	12 hour	MKC8866
R6_06D	1	5	23/07/2018	22:57	DMSO_6	Human Breast Cancer Cell line	MDA_MB_231	17000000	6 hour	DMSO
R4_72M	1	6	23/07/2018	23:47	MKC8866_72	Human Breast Cancer Cell line	MDA_MB_231	23500000	72 hour	MKC8866
R2_24M	1	7	24/07/2018	00:36	MKC8866_24	Human Breast Cancer Cell line	MDA_MB_231	22500000	24 hour	MKC8866
R6_72M	1	8	24/07/2018	01:26	MKC8866_72	Human Breast Cancer Cell line	MDA_MB_231	50000000	72 hour	MKC8866
R3_24M	1	9	24/07/2018	02:15	MKC8866_24	Human Breast Cancer Cell line	MDA_MB_231	17500000	24 hour	MKC8866
R5_48D	1	10	24/07/2018	03:05	DMSO_48	Human Breast Cancer Cell line	MDA_MB_231	41000000	48 hour	DMSO
R4_24M	1	11	24/07/2018	05:33	MKC8866_24	Human Breast Cancer Cell line	MDA_MB_231	14000000	24 hour	MKC8866
R1_12M	1	12	24/07/2018	06:22	MKC8866_12	Human Breast Cancer Cell line	MDA_MB_231	7400000	12 hour	MKC8866
R2_72D	1	13	24/07/2018	07:12	DMSO_72	Human Breast Cancer Cell line	MDA_MB_231	45000000	72 hour	DMSO
R2_12D	1	14	24/07/2018	08:01	DMSO_12	Human Breast Cancer Cell line	MDA_MB_231	24000000	12 hour	DMSO
R4_12M	1	15	24/07/2018	08:51	MKC8866_12	Human Breast Cancer Cell line	MDA_MB_231	14000000	12 hour	MKC8866
R2_12M	1	16	24/07/2018	09:40	MKC8866_12	Human Breast Cancer Cell line	MDA_MB_231	27000000	12 hour	MKC8866
R6_48M	1	17	24/07/2018	10:30	MKC8866_48	Human Breast Cancer Cell line	MDA_MB_231	37000000	48 hour	MKC8866
R5_24M	1	18	24/07/2018	11:19	MKC8866_24	Human Breast Cancer Cell line	MDA_MB_231	28000000	24 hour	MKC8866
R1_06M	1	19	24/07/2018	12:08	MKC8866_6	Human Breast Cancer Cell line	MDA_MB_231	6750000	6 hour	MKC8866
R5_06M	1	20	24/07/2018	12:58	MKC8866_6	Human Breast Cancer Cell line	MDA_MB_231	20000000	6 hour	MKC8866
R6_12D	1	21	24/07/2018	15:26	DMSO_12	Human Breast Cancer Cell line	MDA_MB_231	25000000	12 hour	DMSO
R3_72D	1	22	24/07/2018	16:16	DMSO_72	Human Breast Cancer Cell line	MDA_MB_231	37500000	72 hour	DMSO
R1_48D	1	23	24/07/2018	17:05	DMSO_48	Human Breast Cancer Cell line	MDA_MB_231	8000000	48 hour	DMSO
R3_48M	1	24	24/07/2018	17:54	MKC8866_48	Human Breast Cancer Cell line	MDA_MB_231	36000000	48 hour	MKC8866
