"","Peak_ID","Compound_Name","mz_mean","mz_diff_ppm","RT_diff","Adduct","Synonym","Chem_Sum_Formula","Exact_Mass","Lipid_Class","FA_composition","R1_06D","R2_06D","R3_06D","R4_06D","R5_06D","R6_06D","R1_06M","R2_06M","R3_06M","R4_06M","R5_06M","R6_06M","R1_12D","R2_12D","R3_12D","R4_12D","R5_12D","R6_12D","R1_12M","R2_12M","R3_12M","R4_12M","R5_12M","R6_12M","R1_24D","R2_24D","R3_24D","R4_24D","R5_24D","R6_24D","R1_24M","R2_24M","R3_24M","R4_24M","R5_24M","R6_24M","R1_48D","R2_48D","R3_48D","R4_48D","R5_48D","R6_48D","R1_48M","R2_48M","R3_48M","R4_48M","R5_48M","R6_48M","R1_72D","R2_72D","R3_72D","R4_72D","R5_72D","R6_72D","R1_72M","R2_72M","R3_72M","R4_72M","R5_72M","R6_72M"
"1","GC_001","L-Alanine",116,NA,NA,NA,NA,"C3H7NO2","89.0477","Amino Acids",NA,1011689,1979836,1170347,910065,2177035,1535447,922966,1949674,1446139,1108683,2143362,1680547,899126,3906858,1878539,1260239,2517286,2934467,889057,4021150,1786800,1556939,2652994,2657848,908275,2262483,1640916,1566124,2711028,2977723,690467,2046611,2458961,1816133,2952149,2801795,1204772,3730456,3677547,1889150,5207725,3970608,1045168,3385334,3527122,1728998,4131965,4245432,2629040,7141994,5001658,2944547,6306560,6125278,2332772,5799301,4189474,3142525,5652295,5854892
"2","GC_002","Pyruvic acid",174,NA,NA,NA,NA,"C3H4O3","88.016",NA,NA,97896,207273,122985,95273,145535,140266,123735,195287,137791,88729,156748,156340,111507,253077,204047,116122,177943,187407,110922,239385,176319,114663,170046,213226,74999,231022,195497,120336,170870,225866,75891,162475,228575,102101,211694,199057,148087,281983,306059,120490,199838,280672,123512,297311,280318,95308,230301,296380,158474,360628,292506,157529,217103,345758,139086,327006,307694,171461,272239,230804
"3","GC_005","L-Valine",144,NA,NA,NA,NA,"C5H11NO2","117.0789789","Amino Acids",NA,577989,1000906,683610,588086,1273578,960616,590930,1091472,744847,706952,1382622,1143827,372943,1636101,1044732,741531,1294858,2093372,485835,1832392,1103753,1059164,1658844,1763134,389894,1185817,842762,984972,1484272,1633377,414572,1298884,1465669,1151124,1774269,1770454,613918,1457961,1948624,1008970,2508037,1726334,631986,1633343,2243849,1047795,2032361,2155911,889402,3096227,2273035,1478068,2505059,2300875,944440,3100691,2329724,1844607,2433792,2880264
"4","GC_006","Glycerol",117,NA,NA,NA,NA,"C3H8O3","92.0473",NA,NA,142130,322105,187042,217066,380136,279588,162852,312274,220574,260007,351951,317260,216890,544510,379377,269034,499021,400470,218718,613125,345248,316603,587142,413473,161551,434372,316322,295001,586153,470344,168723,379335,406972,318508,599089,475006,226871,464463,445927,338011,515997,495577,194498,511725,452912,295455,506948,574283,292541,913434,621172,457940,529238,680426,272349,901028,548162,446560,566594,628461
"5","GC_007","Methyl Phosphate",241,NA,NA,NA,NA,"CH5O4P","111.992548",NA,NA,277595,1551913,678079,293371,590228,208128,301538,1097477,846261,319598,654421,318489,317479,2223951,1305172,335101,705734,669399,316206,1404609,815110,402084,736994,534749,201961,1558168,2039257,427218,683657,394513,229555,969177,1977366,348142,742783,497004,406194,1861018,2538463,405955,608945,547398,284467,1689685,2629799,237507,776657,539131,731466,2617599,2343618,567504,581023,746238,694219,2409484,2558618,565892,711114,678298
"6","GC_008","L-Leucine",158,NA,NA,NA,NA,"C6H13NO2","131.0946289","Amino Acids",NA,611818,1245496,820212,635582,1499641,1038633,644681,1358683,871645,807000,1675869,1324669,415432,2115755,1298292,813637,1549738,2506318,525314,2389862,1293803,1204334,2032055,2041889,406372,1489545,1004372,1108122,1821394,1853668,440802,1547383,1887589,1301910,2177336,2075395,679662,1829171,2501146,1154439,2971620,2104178,689225,2117027,2880844,1136741,2478597,2546942,1053695,4065958,2866957,1728149,3008356,2732230,1123488,4165393,3004377,2147899,2955533,3390202
"7","GC_009","L-Isoleucine",158,NA,NA,NA,NA,"C6H13NO2","131.0946289","Amino Acids",NA,543724,1038939,717367,584367,1344889,957959,584916,1140015,754485,721831,1460435,1187131,371019,1692286,1108830,730879,1331639,2190180,467642,1918701,1105951,1059912,1699454,1778683,374011,1245838,835646,990699,1568863,1637205,406013,1313803,1523353,1141216,1838417,1782298,621771,1475746,2005487,1035768,2528725,1775699,621097,1710361,2339600,1016136,2083532,2206990,924974,3178330,2311018,1500417,2500999,2288948,963231,3196264,2421027,1875567,2495668,3017127
"8","GC_010","Glycine",174,NA,NA,NA,NA,"C2H5NO2","75.032","Amino Acids",NA,700035,3412671,1913930,1991913,3507445,1706399,1765663,3346504,3053288,2871291,3003616,4434646,2065295,3743909,3407954,2343274,4097090,3855045,1083865,3948257,1716594,1569638,4482451,4812182,1343014,5007899,4173043,3290771,3920977,1394828,1855243,1925158,2387819,1377376,3429750,4916420,1431495,6712872,5286342,2908311,3032824,6062669,1808495,6440970,5951497,741030,6183874,4302238,3549540,6969660,6370929,4883970,7048215,7098125,3405871,6515126,6429045,2224941,6721319,4528078
"9","GC_011","Orthophosphate",299,NA,NA,NA,NA,"H3PO4","97.976895",NA,NA,3900063,3727909,3528079,3755755,3765210,3911708,3778564,3802381,3804766,3434113,3812956,3497841,3416672,3817947,3818195,3848350,3842774,3728895,3909991,3863801,3914152,3854029,3738188,3486142,3835428,3372374,3505763,3840752,3642195,3865505,3551231,3885711,3840060,3856656,3794025,3717843,3697514,3788997,3585280,3756394,3854349,3654191,3754400,3392118,3663081,3854219,3486980,3838848,3703879,3867182,3714661,3549448,3698787,3778768,3814636,3399491,3540516,3901024,3668767,3859579
"10","GC_012","L-Proline",142,NA,NA,NA,NA,"C5H9NO2","115.0633289","Amino Acids",NA,3471056,6780260,4044341,3928375,6999958,6065024,3626633,6847630,4794416,4281511,7436508,6541651,3666231,9446013,7760410,4819724,8812888,9256020,4448093,9933547,7305266,6321736,9495361,8097732,2920214,6978148,6498851,6006637,8578344,8673604,3162714,8516175,8244236,6812895,9742170,9479582,4666922,9742332,9773929,6728174,10609782,9903309,4400198,9127836,10148844,6320439,9774279,10691932,7175603,10677238,10299952,8793526,10239780,10501184,7746618,9325125,9921446,9804892,10166386,10602368
"11","GC_013","Urea",171,NA,NA,NA,NA,"CH4N2O","60.0324",NA,NA,125476,277187,173872,139338,259440,252826,140868,289676,196774,167104,300209,249685,102771,405367,295524,197434,356979,343819,131755,446616,313322,246879,404041,396123,74090,315965,245088,214730,365082,427187,81423,352145,370896,226918,444071,411868,151305,421271,440017,238000,450062,387978,133212,475692,438108,217329,406191,463114,168849,641872,523355,332863,400776,431097,163593,617207,502818,422952,438542,443265
