"","X","X.miRNA","precursor","D8R1","D8R2","D8R3","M8R1","M8R2","M8R3","T8R1","T8R2","T8R3","TM8R1","TM8R2","TM8R3","D24R1","D24R2","D24R3","M24R1","M24R2","M24R3","T24R1","T24R2","T24R3","TM24R1","TM24R2","TM24R3"
"4",23582,"hsa-let-7a-2-3p","hsa-let-7a-2",27,32,49,43,22,65,52,13,16,21,31,30,34,30,43,47,54,27,45,37,16,39,48,17
"2",23580,"hsa-let-7a-3p","hsa-let-7a-1",8,8,9,10,2,20,10,2,3,7,7,6,11,15,9,10,19,14,5,14,4,9,11,2
"1",23579,"hsa-let-7a-5p","hsa-let-7a-1",8994,13968,22053,18208,12550,32213,21921,7722,13983,15844,16723,21355,11377,30462,22346,15056,37481,22793,16555,36540,11656,21281,49283,10175
"8",23586,"hsa-let-7b-3p","hsa-let-7b",15,17,20,16,10,35,19,15,12,29,17,24,15,19,25,16,26,21,14,15,8,19,17,9
"7",23585,"hsa-let-7b-5p","hsa-let-7b",1495,2318,3614,2749,1830,4902,3394,1380,1998,2670,2340,3697,2046,3341,3105,2650,4268,3011,3060,4496,1932,3503,5065,1858
"10",23588,"hsa-let-7c-3p","hsa-let-7c",0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
"9",23587,"hsa-let-7c-5p","hsa-let-7c",79,122,196,183,94,325,210,67,129,173,161,228,139,300,207,161,338,224,179,382,125,217,483,101
"12",23590,"hsa-let-7d-3p","hsa-let-7d",411,398,637,557,256,887,791,257,437,626,383,746,324,441,615,521,577,483,626,703,407,649,727,405
"11",23589,"hsa-let-7d-5p","hsa-let-7d",375,422,942,697,386,1187,875,255,508,620,487,893,414,885,773,544,1146,757,703,1210,428,821,1546,477
"14",23592,"hsa-let-7e-3p","hsa-let-7e",29,35,52,41,28,84,66,22,30,55,40,48,38,49,66,45,76,56,42,56,20,64,70,36
"13",23591,"hsa-let-7e-5p","hsa-let-7e",1027,1870,3469,1856,1440,4043,2116,973,1477,1529,1961,2570,1467,2549,2050,2131,3424,2506,2161,3624,1356,2768,4996,1501
"16",23594,"hsa-let-7f-1-3p","hsa-let-7f-1",3,7,20,9,7,27,13,10,7,8,9,13,10,20,16,14,23,13,14,15,5,14,18,7
"18",23596,"hsa-let-7f-2-3p","hsa-let-7f-2",1,0,1,1,0,0,1,0,0,0,0,1,4,0,0,0,2,1,1,0,0,1,0,0
"17",23595,"hsa-let-7f-5p","hsa-let-7f-2",3167,7743,14916,6469,9049,17396,7443,4405,5749,4828,11291,9882,6327,20108,10066,8089,25991,13453,6461,22478,4107,9735,42891,4821
"20",23598,"hsa-let-7g-3p","hsa-let-7g",0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2,0,0,1,0,1,0
"19",23597,"hsa-let-7g-5p","hsa-let-7g",3165,7346,9673,6923,6035,14000,7099,4215,4606,5603,7496,9329,5034,14448,9434,6819,17604,11236,6075,16560,5293,8887,25953,3887
"22",23600,"hsa-let-7i-3p","hsa-let-7i",3,1,2,4,0,3,5,1,4,2,7,0,6,1,5,4,7,4,5,8,4,4,6,4
"21",23599,"hsa-let-7i-5p","hsa-let-7i",17345,42433,38754,38559,27939,64731,34007,25275,19041,34471,34570,43630,32139,57076,45280,40990,65734,46541,35958,65755,37973,42754,94137,22917
"27",23605,"hsa-miR-100-3p","hsa-mir-100",0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"26",23604,"hsa-miR-100-5p","hsa-mir-100",307652,465978,699455,476290,384475,1050248,577635,281347,379126,496561,521813,493047,625303,620469,734557,760073,785596,574890,662747,713147,314649,753465,806308,372908
"31",23609,"hsa-miR-101-2-5p","hsa-mir-101-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",23607,"hsa-miR-101-3p","hsa-mir-101-1",20,32,57,31,37,58,37,21,22,35,32,52,125,54,61,107,75,47,77,49,40,75,87,37
