D24R1	D24R2	D24R3	D48R1	D48R2	D48R3	D72R1	D72R2	D72R3	D8R1	D8R2	D8R3	M24R1	M24R2	M24R3	M48R1	M48R2	M48R3	M72R1	M72R2	M72R3	M8R1	M8R2	M8R3
A2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.4114780426025	0	0
AAAS	18.3261489868164	18.6814708709717	19.1979656219482	18.8193435668945	18.9564552307129	18.5420417785645	15.3531122207642	18.75022315979	19.0513896942139	18.6450538635254	18.4010791778564	18.5863704681396	19.4477443695068	19.2393932342529	18.6818141937256	19.0442028045654	17.0177001953125	17.09104347229	18.3311882019043	18.464075088501	17.8512363433838	19.2913818359375	19.11669921875	18.8589649200439
AACS	17.2160835266113	17.4992694854736	17.1055393218994	17.4782485961914	17.0919723510742	14.704174041748	14.1352281570435	17.4375400543213	17.0757713317871	17.2698383331299	17.8777751922607	17.7148494720459	17.4448375701904	17.6894111633301	0	17.304386138916	16.4548301696777	17.6026992797852	17.3670043945313	17.931453704834	0	16.7374057769775	17.5624961853027	17.4547481536865
AAGAB	16.7367458343506	0	15.8202285766602	15.4185447692871	16.0125160217285	0	14.9766979217529	15.7349214553833	15.6839265823364	10.2672548294067	15.5818777084351	16.5584945678711	16.115592956543	16.0530986785889	0	16.0044174194336	0	15.6982707977295	15.7652597427368	0	16.4579257965088	0	15.4067029953003	0
AAK1	16.5870456695557	16.202507019043	16.448600769043	16.7422828674316	16.0740165710449	13.7587432861328	16.3584804534912	16.0911045074463	15.9808759689331	16.3569679260254	16.288703918457	16.0443096160889	16.2337131500244	15.8004446029663	16.3382835388184	15.6021480560303	15.4948558807373	14.370551109314	16.5053005218506	16.4678115844727	15.8525295257568	15.3875799179077	15.607647895813	16.0735149383545
AAMDC	16.6155433654785	16.6146812438965	16.3920497894287	17.0400333404541	17.1616249084473	0	16.9283332824707	17.5425338745117	16.1979656219482	16.8258781433105	16.3923835754395	16.396520614624	16.3145656585693	16.8192806243896	16.6725902557373	16.8038539886475	16.2037677764893	16.7221412658691	16.9968929290771	16.8908348083496	13.5236845016479	16.0466766357422	15.9086275100708	16.1269454956055
AAMP	17.7574024200439	17.9577026367188	17.4667453765869	17.260404586792	17.1115627288818	16.4941520690918	15.9730472564697	17.3186664581299	16.2509098052979	17.8995933532715	17.8613891601563	17.8694858551025	17.0150890350342	16.8525791168213	16.8155326843262	17.4273452758789	16.228687286377	17.1897869110107	17.3607616424561	17.1982536315918	16.681266784668	17.3409976959229	16.2130661010742	17.4272632598877
AAR2	16.4704360961914	16.787239074707	16.5890064239502	16.61741065979	15.9586429595947	16.1369915008545	16.3528022766113	15.5050668716431	16.3677387237549	16.5643882751465	15.6807718276978	17.0824394226074	17.0481472015381	16.741756439209	17.1014423370361	16.419828414917	16.5753173828125	15.5335121154785	17.1494693756104	16.2986183166504	15.7791032791138	16.9652214050293	17.0054702758789	17.2556190490723
AARS	21.4356288909912	21.4152946472168	21.2795181274414	21.0885467529297	20.6940441131592	20.3121871948242	21.3136825561523	21.1432037353516	21.0872535705566	20.5474548339844	20.6740913391113	21.475212097168	21.2309894561768	21.2558040618896	21.3712978363037	21.0645408630371	19.9517688751221	21.2758865356445	21.4070167541504	21.6162967681885	20.5533752441406	20.4887580871582	20.6570911407471	21.350622177124
AARSD1	16.0359382629395	16.105152130127	15.87060546875	17.204761505127	15.4020128250122	0	15.8559637069702	0	15.4665546417236	17.379243850708	17.0482521057129	16.199499130249	15.9958553314209	15.657904624939	15.8507242202759	15.7458839416504	14.896710395813	15.9326763153076	15.3751077651978	15.4899415969849	0	17.0743083953857	15.5981979370117	16.0662364959717
AASDHPPT	18.5736331939697	18.8389205932617	18.3725852966309	18.4543075561523	18.0921268463135	14.8498935699463	17.5428352355957	17.3722877502441	16.8665294647217	17.741756439209	18.5444965362549	18.5556221008301	18.1440505981445	18.2404193878174	17.6947250366211	18.1332530975342	17.1809768676758	18.5700778961182	17.7716579437256	17.85817527771	15.5148067474365	17.751989364624	18.0107803344727	18.1645736694336
AATF	14.8327913284302	17.5413227081299	17.180492401123	16.6981887817383	16.3710117340088	14.1435422897339	16.5580310821533	16.764741897583	16.7575988769531	16.9334144592285	16.0866966247559	17.0939331054688	17.5206031799316	13.8788175582886	15.0764818191528	15.9561042785645	16.1035327911377	15.7100801467896	16.5141754150391	14.1605806350708	16.450984954834	16.133825302124	15.4802217483521	14.6510515213013
ABCC1	16.7237415313721	17.0670776367188	16.5866794586182	14.7355556488037	15.8014554977417	11.187352180481	16.9084167480469	16.1023235321045	0	16.9463806152344	15.3856267929077	15.394965171814	16.6319732666016	16.228687286377	15.5907039642334	16.5059051513672	15.4440765380859	16.0188961029053	17.4038276672363	17.3600749969482	13.8024158477783	15.8437004089355	16.4796390533447	17.053352355957
ABCD3	18.0062389373779	17.3880176544189	17.2924842834473	17.6179122924805	17.8730354309082	18.4518146514893	17.6294136047363	17.405158996582	18.6282386779785	18.6859951019287	18.4032459259033	17.4638748168945	17.8783149719238	17.5436668395996	18.1140575408936	17.3121204376221	17.8902397155762	16.7137088775635	17.5469856262207	15.6740818023682	18.7577934265137	17.7588348388672	17.5865173339844	17.386754989624
ABCE1	21.1171817779541	21.2106246948242	20.9496326446533	21.2903022766113	21.0283031463623	19.0285320281982	20.6195259094238	20.8650665283203	20.3508911132813	21.3230609893799	21.0697937011719	21.2314586639404	21.0912628173828	21.1827125549316	21.3618545532227	21.0555648803711	20.746898651123	21.1463775634766	20.7566223144531	20.9273071289063	19.4253597259521	20.5563716888428	20.8043575286865	21.3774013519287
ABCF1	21.0290451049805	21.05397605896	20.8689880371094	21.4964828491211	21.2786674499512	20.1727981567383	20.787956237793	20.8802433013916	21.0593338012695	20.8139381408691	21.3977527618408	20.977710723877	20.6199722290039	21.0792007446289	21.2313995361328	20.9227409362793	20.4961910247803	21.4124031066895	21.0295829772949	20.8193283081055	20.4125576019287	20.3017330169678	20.6328067779541	21.1257820129395
