pval	Fstat
AAAS	0.557372818403382	5.25641025641026
AAK1	0.54978121344029	6.69230769230769
AAMP	0.640713413420515	3.56410256410256
AAR2	0.54978121344029	6.43589743589744
AARS	0.54978121344029	6.58974358974359
AASDHPPT	0.557372818403382	5.22887323943662
ABCC1	0.62147278064023	3.71794871794872
ABCE1	0.54978121344029	6.48717948717949
ABCF2	0.54978121344029	8.12820512820513
ABHD10	0.54978121344029	8.74358974358974
ABI1	0.54978121344029	6.8974358974359
ABRACL	0.589536274080853	4.28421052631579
ACACA	0.54978121344029	6.43589743589744
ACADM	0.669160834789971	3.1025641025641
ACADVL	0.683882770503245	3
ACAT1	0.589726859077722	4.23076923076923
ACBD3	0.550553735040445	5.61538461538461
ACO2	0.54978121344029	6.28205128205128
ACOT2;ACOT1	0.656456871918222	3.4102564102564
ACOX1	0.54978121344029	6.64102564102564
ACSL1	0.62147278064023	3.7953216374269
ACSL3	0.572487848246921	4.64102564102564
ACSL5	0.54978121344029	7.92307692307692
ACSS2	0.62147278064023	3.71794871794872
ACTB	0.550553735040445	5.90307328605201
ACTC1;ACTA1;ACTG2;ACTA2	0.640713413420515	3.58724428399518
ACTN1	0.576582867512538	4.5667870036101
ACTR10	0.62147278064023	3.71794871794872
ACTR1A	0.557372818403382	5.15384615384615
ACTR3	0.665447703609018	3.15204678362573
ACY1	0.568527045812584	4.92748538011695
ADAM10	0.54978121344029	7.2051282051282
ADAR	0.54978121344029	8.43589743589744
ADD1	0.683882770503245	3
ADI1	0.572612231488299	4.58974358974359
ADSS	0.54978121344029	6.38461538461539
AFAP1L2	0.550553735040445	5.35897435897436
AGFG1	0.557372818403382	5.25641025641026
AGO2	0.568527045812584	4.84615384615385
AGPS	0.635606835206209	3.61538461538461
AGR2	0.54978121344029	9.0187134502924
AGRN	0.54978121344029	8.33333333333333
AHCTF1	0.658887326576372	3.2051282051282
AHCYL1;AHCYL2	0.658887326576372	3.2051282051282
AHNAK	0.54978121344029	9.6283950617284
AHNAK2	0.577840335052204	4.43589743589744
AIFM1	0.683882770503245	3
AIFM2	0.577840335052204	4.38461538461539
AIM1	0.62147278064023	3.71794871794872
AIP	0.54978121344029	8.77426900584796
AK4	0.658887326576372	3.2051282051282
AKAP12	0.640713413420515	3.56410256410255
AKAP8L	0.572612231488299	4.58974358974359
AKAP9	0.658887326576372	3.2051282051282
AKR1A1	0.656456871918222	3.35897435897436
AKR1C3	0.635606835206209	3.61538461538461
AKR7A2	0.609429164716571	3.97435897435897
AKT1	0.643563518591961	3.51282051282051
ALDH16A1	0.550553735040445	5.35897435897436
ALDH1B1	0.62147278064023	3.76923076923077
ALDH2	0.616967448030478	3.87251461988304
ALDH7A1	0.54978121344029	6.38461538461539
ALDOA	0.54978121344029	7.74969474969475
ALDOC	0.54978121344029	6.52280701754386
ALG2	0.568527045812584	4.84615384615385
ALG9	0.589726859077722	4.23076923076923
ALKBH5	0.669160834789971	3.12631578947368
ANAPC2	0.656456871918222	3.35789473684211
ANAPC7	0.54978121344029	7.05128205128205
ANKRD28	0.577840335052204	4.43589743589745
ANP32B	0.54978121344029	7.46153846153846
ANTXR2	0.54978121344029	7.92307692307692
ANXA3	0.54978121344029	8.23076923076923
ANXA4	0.568527045812584	4.74358974358974
ANXA6	0.635606835206209	3.6405693950178
ANXA7	0.54978121344029	6.7948717948718
AP1G1	0.605844253134795	4.02564102564103
AP1M1	0.577840335052204	4.38461538461539
AP2A1	0.54978121344029	7.61538461538461
AP2B1	0.589726859077722	4.12982456140351
AP2M1	0.54978121344029	7.05128205128205
AP3B1	0.54978121344029	6.38461538461539
AP3D1	0.557372818403382	5.18479532163742
APBB1IP	0.54978121344029	6.28205128205128
API5	0.54978121344029	6.17948717948718
APLP2	0.54978121344029	8.8974358974359
APMAP	0.550553735040445	5.76923076923077
APOBEC3B	0.550553735040445	5.35897435897436
APOBEC3C	0.658887326576372	3.2051282051282
APOO	0.54978121344029	7
APPL2	0.54978121344029	8.12820512820513
AQR	0.54978121344029	6.58974358974359
ARAP1	0.568527045812584	4.74358974358974
ARCN1	0.656870058425038	3.30769230769231
ARFGAP1	0.54978121344029	6.48717948717948
ARFGAP2	0.54978121344029	8.74358974358974
ARFIP1	0.616967448030478	3.82051282051282
ARHGAP17	0.550553735040445	5.76923076923077
ARHGAP29	0.54978121344029	8.74358974358974
ARHGAP35	0.56743421601592	5
ARHGAP5	0.566224017183782	5.05128205128205
ARHGDIA	0.550553735040445	5.67368421052632
ARHGDIB	0.54978121344029	6.84615384615385
ARHGEF2	0.589726859077722	4.17948717948718
ARID1A	0.54978121344029	6.17948717948718
ARL1	0.577840335052204	4.54152046783626
ARMC10	0.550553735040445	5.76923076923077
ARMC6	0.54978121344029	6.84615384615385
ARMT1	0.54978121344029	6.23076923076923
ARPC2	0.54978121344029	8.12820512820513
ARPC3	0.568527045812584	4.84615384615385
ARPC4	0.550553735040445	5.82051282051282
ARRB1	0.54978121344029	6.43589743589744
ASNS	0.56743421601592	5.0093896713615
ASPH	0.54978121344029	7.05128205128205
ASPM	0.566224017183782	5.05128205128205
ATAD1	0.656456871918222	3.37076023391813
ATAD3A	0.54978121344029	8.12820512820513
ATF7;ATF2	0.616967448030478	3.82051282051282
ATG5	0.658887326576372	3.2051282051282
ATG9A	0.568527045812584	4.84615384615385
ATIC	0.656456871918222	3.35897435897436
ATL3	0.550553735040445	5.66666666666666
ATOX1	0.589726859077722	4.17948717948718
ATP1A1	0.54978121344029	6.28205128205128
ATP1B1	0.572612231488299	4.58974358974359
ATP1B3	0.54978121344029	6.8974358974359
ATP2B1	0.550553735040445	5.68654970760234
ATP5A1	0.550553735040445	5.87179487179487
ATP5H	0.557372818403382	5.1719298245614
ATP5J2	0.577840335052204	4.43589743589744
ATP5L	0.54978121344029	6.58974358974359
ATP6AP2	0.589726859077722	4.12820512820513
ATP6V0D1	0.62147278064023	3.71794871794872
ATP6V1B2;ATP6V1B1	0.54978121344029	6.88304093567251
ATP6V1C1	0.550553735040445	5.82051282051282
ATP6V1D	0.550553735040445	5.66666666666666
ATP6V1H	0.550553735040445	5.66666666666666
ATPIF1	0.656456871918222	3.35897435897436
ATRX	0.550553735040445	5.66666666666666
ATXN2L	0.54978121344029	6.71578947368421
ATXN7L3B	0.568527045812584	4.79487179487179
AURKB	0.54978121344029	6.69230769230769
B2M	0.572612231488299	4.58974358974359
BABAM1	0.54978121344029	7.05128205128205
BAG2	0.658887326576372	3.2051282051282
BAG6	0.605844253134795	4.02564102564103
BAIAP2	0.568527045812584	4.84615384615385
BAP18	0.568527045812584	4.84615384615385
BAX	0.550553735040445	5.61538461538461
BAZ1B	0.577840335052204	4.43589743589744
BBX	0.54978121344029	7.19181286549707
BCAP29	0.577840335052204	4.38461538461539
BCCIP	0.589726859077722	4.12820512820513
BCLAF1	0.658887326576372	3.2051282051282
BET1	0.568527045812584	4.94871794871794
BID	0.658887326576372	3.25497076023392
BIN1	0.568527045812584	4.84615384615385
BLMH	0.611324512887132	3.92307692307692
BLVRB	0.577840335052204	4.43589743589744
BOD1L1	0.54978121344029	6.58974358974359
BOP1	0.54978121344029	9.97435897435897
BPNT1	0.568527045812584	4.84615384615385
BRD4	0.54978121344029	7.12748538011696
BRIX1	0.658887326576372	3.2051282051282
BRK1	0.54978121344029	7.66666666666666
BST2	0.54978121344029	7.66666666666666
BTAF1	0.656456871918222	3.35897435897436
BTF3	0.589726859077722	4.24561403508772
BTF3L4	0.550553735040445	5.56410256410256
BYSL	0.54978121344029	8.94871794871795
BZW1	0.550553735040445	5.35897435897436
BZW2	0.658887326576372	3.2051282051282
C11orf98	0.656456871918222	3.4102564102564
C14orf142	0.550553735040445	5.35897435897436
C14orf166	0.589726859077722	4.23076923076923
C19orf43	0.557372818403382	5.15384615384615
C19orf52	0.54978121344029	6.48717948717948
C1orf123	0.605844253134795	4.02564102564103
C1orf52	0.669160834789971	3.12631578947368
C1QBP	0.568527045812584	4.84615384615385
C20orf27	0.56743421601592	5
C4orf27	0.611324512887132	3.93684210526315
C7orf50	0.568527045812584	4.74358974358974
C9orf171	0.635606835206209	3.61538461538461
C9orf64	0.658887326576372	3.2051282051282
CAB39	0.609429164716571	3.97435897435897
CACTIN	0.54978121344029	7.2051282051282
CACYBP	0.557372818403382	5.21052631578948
CALB2	0.658887326576372	3.2051282051282
CALR	0.54978121344029	6.40997566909976
CAMK2D	0.54978121344029	6.28205128205128
CAMK2G;CAMK2B	0.550553735040445	5.66666666666666
CANX	0.54978121344029	6.30409356725146
CAPN1	0.557372818403382	5.21052631578948
CAPN2	0.577840335052204	4.38967136150235
CAPNS1	0.658887326576372	3.2051282051282
CAPZA2	0.54978121344029	7.46153846153846
CAPZB	0.54978121344029	7.92307692307692
CARHSP1	0.568527045812584	4.7948717948718
CASP6	0.568527045812584	4.84615384615385
CASP7	0.568527045812584	4.74358974358974
CASQ2	0.54978121344029	7.2051282051282
CAST	0.656456871918222	3.36111111111111
CAT	0.54978121344029	7.51282051282051
CAV1	0.54978121344029	7.11461988304094
CAV2	0.656870058425038	3.30769230769231
CBFB	0.658887326576372	3.2051282051282
CBL	0.557372818403382	5.15384615384615
CBR1	0.54978121344029	8.43589743589744
CBX1	0.54978121344029	6.72865497076023
CBX3	0.616967448030478	3.82051282051282
CBX5	0.577840335052204	4.38461538461539
CCDC22	0.62147278064023	3.71794871794872
CCDC43	0.589726859077722	4.12820512820513
CCDC47	0.589726859077722	4.23076923076923
CCDC50	0.640713413420515	3.56374269005848
CCNB1	0.647576086933449	3.48654970760234
CCT2	0.683882770503245	3.00821596244132
CCT3	0.609429164716571	4.00353356890459
CCT4	0.643563518591961	3.51282051282051
CCT5	0.572487848246921	4.65730994152046
CCT7	0.54978121344029	8.06666666666667
CCT8	0.568527045812584	4.74358974358974
CD2AP	0.609429164716571	3.97435897435897
CD44	0.605844253134795	4.02564102564103
CD46	0.589726859077722	4.1812865497076
CD58	0.577840335052204	4.43589743589744
CD59	0.54978121344029	7.71794871794872
CD9	0.54978121344029	6.64102564102564
CDC16	0.550553735040445	5.97435897435897
CDC20	0.577840335052204	4.43589743589744
CDC26	0.568527045812584	4.74358974358974
CDC42	0.54978121344029	7.1025641025641
CDC42BPB	0.589726859077722	4.12820512820513
CDCP1	0.54978121344029	6.17948717948718
CDK12	0.656456871918222	3.4102564102564
CDK5	0.577840335052204	4.38461538461539
CDK6	0.54978121344029	7.2051282051282
CDKN2AIP	0.54978121344029	7.2051282051282
CECR5	0.665447703609018	3.15384615384615
CELF1	0.578531761012931	4.33333333333334
CENPV	0.656456871918222	3.35897435897436
CEP170	0.577840335052204	4.38461538461539
CEP250	0.589726859077722	4.12820512820513
CEP41	0.669160834789971	3.1025641025641
CERS2	0.658887326576372	3.2051282051282
CETN2	0.54978121344029	6.17948717948718
CFL1	0.578531761012931	4.3663133097762
CGGBP1	0.589726859077722	4.12820512820513
CHCHD2;CHCHD2P9	0.54978121344029	6.38461538461539
CHD4	0.640713413420515	3.58947368421053
CHERP	0.54978121344029	9.66666666666666
CHID1	0.557372818403382	5.2051282051282
CHML	0.572487848246921	4.64102564102564
CHMP1A	0.616967448030478	3.82051282051282
CHMP2A	0.550553735040445	5.61538461538461
CHMP3	0.656870058425038	3.30769230769231
CHMP4A	0.62147278064023	3.71794871794872
CIAO1	0.577840335052204	4.53846153846154
CIAPIN1	0.550553735040445	5.66666666666666
CIRH1A	0.550553735040445	5.56410256410256
CISD1	0.54978121344029	8.33333333333333
CIT	0.658887326576372	3.2051282051282
CKAP4	0.578531761012931	4.33333333333334
CKB	0.577840335052204	4.43859649122807
CKS2	0.568527045812584	4.94871794871794
CLASP1	0.572487848246921	4.64102564102564
CLASP2	0.54978121344029	7.05128205128205
CLGN	0.658887326576372	3.21637426900585
CLIC4	0.54978121344029	6.43589743589744
CLIP2	0.550553735040445	5.35897435897436
CLPTM1	0.550553735040445	5.76923076923077
CLTC	0.635606835206209	3.65328467153285
CLUH	0.568527045812584	4.84615384615385
CMBL	0.54978121344029	7.2051282051282
CMC1	0.589726859077722	4.12820512820513
CMPK1	0.658887326576372	3.2051282051282
CMTR1	0.54978121344029	7.05128205128205
CNBP	0.627310782323373	3.69333333333334
CNIH4	0.550553735040445	5.97435897435897
CNN2	0.550553735040445	5.44210526315789
CNOT3	0.611324512887132	3.92307692307692
CNP	0.54978121344029	6.8974358974359
CNPY2	0.656456871918222	3.35897435897436
CNPY3	0.577840335052204	4.43589743589744
COA6	0.54978121344029	6.8974358974359
COASY	0.54978121344029	7.2051282051282
COL6A1	0.54978121344029	6.8974358974359
COPA	0.640713413420515	3.58892815076561
COPB1	0.550553735040445	5.84093567251462
COPB2	0.54978121344029	6.68321513002365
COPE	0.577840335052204	4.43589743589744
COPS3	0.683882770503245	3
COPS4	0.635606835206209	3.61538461538461
COPS5	0.577840335052204	4.43589743589745
COPS7A	0.54978121344029	6.69230769230769
COPS7B	0.643563518591961	3.51282051282051
COPZ1	0.577840335052204	4.53846153846154
CORO1B	0.609429164716571	3.97435897435898
CORO1C	0.54978121344029	8.43589743589744
CORO7	0.572612231488299	4.58974358974359
COX17	0.550553735040445	5.46153846153846
COX20	0.568527045812584	4.74358974358974
COX4I1	0.550553735040445	5.35897435897436
COX6B1	0.643563518591961	3.51282051282051
CPNE1	0.669160834789971	3.1025641025641
CPNE3	0.568527045812584	4.7948717948718
CPOX	0.550553735040445	5.66666666666666
CPPED1	0.550553735040445	5.97435897435897
CPSF3	0.572487848246921	4.64102564102564
CRNKL1	0.54978121344029	6.58974358974359
CRTAP	0.550553735040445	5.87179487179487
CRYZ	0.54978121344029	6.43589743589745
CSDE1	0.568527045812584	4.7948717948718
CSNK1A1;CSNK1A1L	0.577840335052204	4.38461538461539
CSNK2A2	0.568527045812584	4.7948717948718
CSNK2B	0.656870058425038	3.30769230769231
CSRP1	0.550553735040445	5.76923076923077
CST3	0.665447703609018	3.15384615384615
CSTB	0.54978121344029	8.74358974358974
CSTF2	0.557372818403382	5.2051282051282
CSTF3	0.616967448030478	3.82051282051282
CTNNA1	0.550553735040445	5.66666666666666
CTNNA2	0.557372818403382	5.15384615384615
CTNNBL1	0.54978121344029	8.50409356725146
CTNND1	0.54978121344029	9.04444444444444
CTPS2	0.643563518591961	3.51282051282051
CTSB	0.683882770503245	3
CTSD	0.572487848246921	4.70685579196218
CTSL	0.54978121344029	8.74358974358974
CUL3	0.550553735040445	6.07692307692308
CUL4A	0.577840335052204	4.38461538461539
CUL4B	0.54978121344029	6.38461538461539
CUL5	0.605844253134795	4.02564102564103
CYB5A	0.656456871918222	3.41025641025641
CYC1	0.557372818403382	5.25641025641026
CYCS	0.635606835206209	3.61538461538461
CYFIP1	0.656456871918222	3.43508771929824
CYR61	0.54978121344029	7.61538461538461
DAG1	0.54978121344029	7.82051282051282
DAZAP1	0.656456871918222	3.35897435897436
DBN1	0.550553735040445	5.4102564102564
DCAF13	0.572612231488299	4.58974358974359
DCBLD2	0.550553735040445	5.35897435897436
DCPS	0.572487848246921	4.64102564102564
DCTN1	0.568527045812584	4.92748538011696
DCTN2	0.550553735040445	5.4102564102564
DCTN4	0.550553735040445	5.97435897435897
DCUN1D1	0.550553735040445	5.35897435897436
DCUN1D5	0.557372818403382	5.2051282051282
DDOST	0.54978121344029	6.57426900584795
DDRGK1	0.611324512887132	3.92307692307692
DDX10	0.609429164716571	3.97435897435897
DDX19A	0.566224017183782	5.05128205128205
DDX21	0.568527045812584	4.84615384615385
DDX27	0.54978121344029	6.8974358974359
DDX39A	0.572612231488299	4.59298245614035
DDX39B	0.577840335052204	4.49881796690307
DDX3X;DDX3Y	0.54978121344029	6.38461538461539
DDX41	0.577840335052204	4.38461538461539
DDX42	0.54978121344029	9.35897435897436
DDX47	0.54978121344029	6.5897435897436
DDX5	0.54978121344029	6.40701754385965
DDX52	0.572612231488299	4.58974358974359
DDX56	0.589726859077722	4.12820512820513
DDX58	0.54978121344029	6.69230769230769
DDX6	0.557372818403382	5.2051282051282
DEGS1	0.550553735040445	5.66666666666666
DERL1	0.54978121344029	8.64102564102564
DFFA	0.54978121344029	6.5897435897436
DFNA5	0.589726859077722	4.12820512820513
DHCR7	0.54978121344029	7.41025641025641
DHFR	0.550553735040445	6.07692307692308
DHPS	0.656870058425038	3.30769230769231
DHRS4	0.568527045812584	4.84615384615385
DHRS7B	0.54978121344029	7.02456140350877
DHX16	0.54978121344029	6.69230769230769
DHX30	0.589726859077722	4.24561403508772
DHX36	0.609429164716571	3.97435897435897
DHX37	0.54978121344029	7.2051282051282
DHX9	0.54978121344029	8.74358974358974
DIABLO	0.643563518591961	3.51282051282051
DIAPH2	0.616967448030478	3.82051282051282
DIAPH3	0.550553735040445	5.66666666666666
DIMT1	0.54978121344029	7.2051282051282
DIS3	0.656456871918222	3.38362573099415
DLGAP5	0.54978121344029	7.61538461538461
DNAJA1	0.54978121344029	7.07602339181287
DNAJA2	0.572612231488299	4.58974358974359
DNAJC13	0.54978121344029	6.17948717948718
DNAJC3	0.54978121344029	8.07692307692308
DNAJC5	0.54978121344029	6.8974358974359
DNAJC7	0.611324512887132	3.92307692307692
DNAJC8	0.572612231488299	4.58974358974359
DNMBP	0.54978121344029	6.49707602339181
DNMT1	0.54978121344029	7.30769230769231
DNTTIP2	0.557372818403382	5.25641025641026
DOCK7	0.54978121344029	6.69230769230769
DOCK9	0.550553735040445	5.56410256410256
DPM1	0.54978121344029	6.38461538461539
DPP3	0.550553735040445	5.82051282051282
DPYSL2	0.54978121344029	7.33333333333333
DRG1	0.54978121344029	7.2051282051282
DSG2	0.550553735040445	5.82051282051282
DSP	0.658887326576372	3.2051282051282
DST	0.550553735040445	6.07692307692308
DSTN	0.56743421601592	5.0046783625731
DTYMK	0.656870058425038	3.30769230769231
DUT	0.54978121344029	6.69230769230769
DVL2	0.550553735040445	5.56410256410256
DYNC1I2	0.658887326576372	3.21637426900585
DYNC1LI1	0.62147278064023	3.71794871794872
DYNLL1	0.54978121344029	6.43589743589744
DYNLRB1	0.54978121344029	6.88304093567251
DYNLT1	0.550553735040445	5.87179487179487
DYNLT3	0.54978121344029	6.8974358974359
EBNA1BP2	0.658887326576372	3.2051282051282
EBP	0.54978121344029	6.69230769230769
ECI2	0.566224017183782	5.05128205128205
ECM29	0.578531761012931	4.33333333333334
EDC4	0.550553735040445	5.76923076923077
EDIL3	0.54978121344029	7.82051282051282
EEA1	0.54978121344029	6.17948717948718
EEF1A1;EEF1A1P5	0.54978121344029	6.80952380952381
EEF1B2	0.54978121344029	6.51995305164319
EEF1D	0.605844253134795	4.02564102564103
EEF2	0.640713413420515	3.56227758007117
EFHD2	0.54978121344029	8.07692307692308
EHD1	0.54978121344029	8.91578947368421
EHD4	0.550553735040445	5.56410256410256
EIF1	0.550553735040445	5.51929824561403
EIF2AK2	0.54978121344029	7.16608187134503
EIF2B3	0.56743421601592	5
EIF2B4	0.54978121344029	6.43589743589744
EIF2B5	0.669160834789971	3.1025641025641
EIF2S2	0.54978121344029	7.2051282051282
EIF2S3;EIF2S3L	0.550553735040445	6.07692307692308
EIF3A	0.54978121344029	7.06220657276996
EIF3B	0.54978121344029	6.61286549707603
EIF3E	0.557372818403382	5.2051282051282
EIF3F	0.54978121344029	8.12820512820513
EIF3G	0.550553735040445	5.54502923976608
EIF3H	0.557372818403382	5.25641025641026
EIF3I	0.54978121344029	6.28205128205128
EIF3L	0.550553735040445	5.87953216374269
EIF4A1	0.643563518591961	3.52464788732394
EIF4A2	0.616967448030478	3.82051282051282
EIF4B	0.54978121344029	7.66666666666666
EIF4G1	0.54978121344029	6.69230769230769
EIF4G2	0.550553735040445	5.61538461538461
EIF4G3	0.550553735040445	5.35897435897436
EIF4H	0.550553735040445	5.64302600472813
EIF5	0.54978121344029	9.46153846153846
EIF5B	0.589726859077722	4.12820512820513
EIF6	0.54978121344029	7
ELAC2	0.616967448030478	3.82051282051282
ELMOD2	0.54978121344029	6.40701754385965
ELOF1	0.54978121344029	6.58974358974359
