gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
LP_009431	269	2.268	-Inf	7.601e-09	9.525e-12
LP_24939	413	5.144	-Inf	1.798e-06	4.506e-09
LP_009442	270	7.125	-Inf	1.035e-05	3.891e-08
LP_27237	447	7.796	-Inf	1.375e-05	6.891e-08
LP_009409	268	13.14	-Inf	0.0002519	1.578e-06
LP_000796	127	13.2	-Inf	0.0002151	1.618e-06
LP_009310	264	13.7	-Inf	0.0002283	2.002e-06
LP_009288	262	13.83	-Inf	0.0002104	2.109e-06
LP_34206	557	16.13	-Inf	0.0004408	4.971e-06
LP_27027	444	17.73	-Inf	0.0006645	8.326e-06
LP_20366	368	23.55	-Inf	0.002677	3.69e-05
LP_30125	495	24.26	-Inf	0.00285	4.285e-05
LN_005077	94	25.35	-Inf	0.003289	5.358e-05
LP_001948	164	25.63	-Inf	0.003226	5.66e-05
LP_20946	376	26	-Inf	0.003234	6.079e-05
LP_002047	170	26	-Inf	0.003034	6.083e-05
LP_002457	192	27.79	-Inf	0.003974	8.466e-05
LP_002311	184	31.38	-Inf	0.006789	0.0001531
LP_003051	204	31.87	-Inf	0.006935	0.0001651
LP_35310	575	33.98	-Inf	0.008936	0.000224
LP_30223	496	34.36	-Inf	0.008971	0.0002361
LP_000851	129	35.31	-Inf	0.009739	0.0002685
LP_23980	401	35.69	-Inf	0.009803	0.0002826
PP_041929	741	36.99	-Inf	0.0111	0.0003339
LP_002179	177	37.72	-Inf	0.01166	0.0003654
LP_002036	169	37.98	-Inf	0.01159	0.0003775
LN_003349	77	47.71	-Inf	0.03117	0.001055
LP_28693	472	49.46	-Inf	0.03519	0.001235
LP_27435	451	49.83	-Inf	0.03507	0.001274
LP_003128	205	52.25	-Inf	0.04161	0.001564
LP_22581	387	52.78	-Inf	0.04206	0.001634
LP_002446	191	54.65	-Inf	0.04725	0.001895
LP_001871	159	55.82	-Inf	0.05012	0.002073
LP_19486	346	56.46	-Inf	0.05105	0.002175
LP_26233	430	57.12	-Inf	0.05207	0.002284
LP_002300	183	57.75	-Inf	0.05301	0.002392
LP_002468	193	59.04	-Inf	0.05655	0.002622
LP_28580	470	59.26	-Inf	0.05595	0.002664
PP_039913	734	61.5	-Inf	0.06356	0.003106
LP_002168	176	65.64	-Inf	0.0809	0.004055
LP_005812	259	66.29	-Inf	0.08214	0.00422
LP_009365	265	66.72	-Inf	0.08228	0.00433
LP_29154	479	67.66	-Inf	0.08503	0.004582
LP_28871	474	71.4	-Inf	0.103	0.005681
LP_37109	610	77.16	-Inf	0.1366	0.007703
LP_009398	267	77.21	-Inf	0.134	0.007724
LP_24810	410	77.87	-Inf	0.1355	0.007981
LN_16499	109	80.73	-Inf	0.1525	0.00917
LP_25975	424	80.99	-Inf	0.1512	0.009283
LP_37241	613	81.36	-Inf	0.1508	0.009447
LP_31689	516	83.33	-Inf	0.1619	0.01035
LP_36122	587	84.29	-Inf	0.1659	0.01081
LP_31538	515	84.68	-Inf	0.1656	0.011
LP_35086	570	85.46	-Inf	0.1683	0.01139
LP_35311	576	85.48	-Inf	0.1653	0.0114
LP_19551	350	87.88	-Inf	0.1802	0.01265
LP_36495	595	88.34	-Inf	0.1805	0.01289
LP_26834	442	93.39	-Inf	0.2179	0.01584
