FC..class1.class2.	P.value
PP_054889	-Inf	2.197e-10
LP_009431	-Inf	7.686e-07
PP_041929	-Inf	1.048e-06
LP_009310	-Inf	1.638e-05
PP_042529	-Inf	4.367e-05
LP_20366	-Inf	6.608e-05
PP_039697	-Inf	0.0001507
LP_24939	-Inf	0.0001601
PP_044689	-Inf	0.0001854
PP_041329	-Inf	0.0002177
PP_051191	-Inf	0.0002386
LP_002446	-Inf	0.0004771
PP_039001	-Inf	0.000929
LP_009398	-Inf	0.001339
LP_27026	-Inf	0.001554
LP_009288	-Inf	0.001653
PP_046777	-Inf	0.002482
LP_009409	-Inf	0.002547
PP_013297	-Inf	0.003139
LP_000763	-Inf	0.004022
PP_049177	-Inf	0.005098
LP_002523	-Inf	0.006815
LP_001937	Inf	0.00723
LP_30125	-Inf	0.007621
LP_000796	-Inf	0.007811
PP_038879	-Inf	0.007909
LP_27237	-Inf	0.008543
PP_037201	-Inf	0.008804
LN_005041	-Inf	0.009149
PP_054769	-Inf	0.009347
LN_001333	-Inf	0.009799
LP_28868	-Inf	0.009877
LP_000851	-Inf	0.009943
LP_20946	-Inf	0.0104
LP_009365	-Inf	0.01041
LP_19551	-Inf	0.01047
LP_000906	-Inf	0.01055
PP_042409	Inf	0.01103
PN_022850	-Inf	0.01119
LP_002457	-Inf	0.01316
LP_30223	-Inf	0.01357
LP_003029	-Inf	0.01421
LP_19035	-Inf	0.01468
LP_19486	-Inf	0.01687
LP_29154	-Inf	0.01722
LP_18725	-Inf	0.02167
PN_023378	-Inf	0.02296
PP_046921	-Inf	0.0273
LP_001860	Inf	0.02759
LP_28580	-Inf	0.02988
LP_31538	-Inf	0.03078
LP_21385	-Inf	0.03112
LP_002468	-Inf	0.03143
LP_28871	-Inf	0.03162
LP_20843	-Inf	0.03186
LP_31689	-Inf	0.03409
LP_18882	-Inf	0.03485
LP_003436	-Inf	0.03653
LP_19912	-Inf	0.03779
LP_009442	Inf	0.03921
PP_034919	-Inf	0.04093
LN_16499	-Inf	0.04229
PP_039865	-Inf	0.04282
LP_28693	-Inf	0.04708
PP_039913	-Inf	0.04756
PP_042673	Inf	1.735e-07
LP_001959	Inf	1.27e-06
LP_001948	Inf	1.556e-06
LP_002058	Inf	6.316e-06
PP_042697	Inf	9.154e-06
LP_34206	Inf	1.05e-05
LP_002311	Inf	1.183e-05
LP_002047	Inf	1.352e-05
LP_001970	Inf	0.000164
LP_35311	Inf	0.0002605
LP_002036	Inf	0.0002855
LP_001882	Inf	0.0002901
LP_002179	Inf	0.000302
LP_33935	Inf	0.0003909
LP_001871	Inf	0.0004171
PP_052705	Inf	0.0004995
LP_003730	Inf	0.0006802
LP_002300	Inf	0.0007434
LP_35195	Inf	0.0009347
LP_003939	Inf	0.001337
PN_027202	Inf	0.001547
LP_0019371	Inf	0.003103
LP_002168	Inf	0.003286
LP_002069	Inf	0.003736
PP_0424091	Inf	0.004821
LP_004148	Inf	0.004989
LP_35310	Inf	0.005311
PP_043273	Inf	0.005969
LP_003741	Inf	0.006646
LP_26834	Inf	0.007742
PN_022578	Inf	0.008328
LP_003950	Inf	0.008902
PP_035017	Inf	0.01017
LP_0018601	Inf	0.01061
LP_0094421	Inf	0.0111
LP_34061	Inf	0.01152
LP_002157	Inf	0.01205
LP_36313	Inf	0.0121
LP_32844	Inf	0.01353
PP_035327	Inf	0.01429
LP_004467	Inf	0.01447
PP_043705	Inf	0.01474
LP_004137	Inf	0.01685
LP_34819	Inf	0.0184
LP_37187	Inf	0.01945
LP_003928	Inf	0.01969
LP_37241	Inf	0.02064
LP_002289	Inf	0.02269
LP_001816	Inf	0.02721
LP_002355	Inf	0.02925
LP_004181	Inf	0.02929
LP_33820	Inf	0.03073
PP_0469211	-Inf	0.03359
LP_37109	Inf	0.03525
LP_27028	Inf	0.03596
LP_24810	Inf	0.03956
LP_003598	Inf	0.04085
LP_35194	Inf	0.04117
LP_002146	Inf	0.04674
LP_004632	Inf	0.04688
PP_038617	Inf	0.04772
