FC..class1.class2.	P.value
LP_24939	428.744092212673	0.01397
LP_20366	Inf	0.04262
LP_34206	Inf	5.776e-09
LP_35310	Inf	1.319e-08
PP_046921	Inf	2.429e-08
LP_002058	Inf	4.34e-08
PP_049919	Inf	7.163e-08
LP_002036	Inf	2.17e-07
LP_33935	Inf	3.588e-07
LP_35195	Inf	9.284e-07
LP_001871	Inf	1.414e-06
LP_002168	Inf	5.039e-06
LP_002311	Inf	6.054e-06
LP_001882	Inf	1.647e-05
LP_35311	Inf	1.932e-05
LP_001816	Inf	3.219e-05
LP_35086	Inf	3.562e-05
LP_36122	Inf	3.988e-05
PP_042697	Inf	5.631e-05
LP_002047	Inf	5.746e-05
LP_009310	Inf	6.578e-05
LP_003928	Inf	0.0001055
LP_26834	Inf	0.00011
LP_32561	Inf	0.000437
LP_001970	Inf	0.0005232
PP_042313	Inf	0.000554
LP_003939	Inf	0.0006168
LP_003271	Inf	0.0007003
LP_32706	Inf	0.0007004
LP_002069	Inf	0.0007598
LP_009288	Inf	0.0008587
LP_002157	Inf	0.0009701
LP_37109	Inf	0.001291
LP_003741	Inf	0.001497
LP_32444	Inf	0.001567
PP_037201	Inf	0.001576
LP_004467	Inf	0.001606
LP_003598	Inf	0.001648
PP_039697	Inf	0.001809
LP_002410	Inf	0.002027
LP_37033	Inf	0.002036
LP_35194	Inf	0.002168
LP_203661	Inf	0.002308
LP_26833	Inf	0.002532
PP_038617	Inf	0.002534
LP_33820	Inf	0.002763
LP_36495	Inf	0.002859
LP_19083	Inf	0.002999
LP_36064	Inf	0.003085
LP_001893	Inf	0.003416
LP_002300	Inf	0.00362
PP_043705	Inf	0.00424
LP_003029	Inf	0.0047
LP_004181	Inf	0.004806
LP_002278	Inf	0.005474
LP_33433	Inf	0.006255
LP_249391	428.744092212673	0.006461
LP_004148	Inf	0.006553
LP_002267	Inf	0.007175
LP_000763	Inf	0.00868
LP_37994	Inf	0.008752
PP_044689	Inf	0.009491
LP_33333	Inf	0.01029
LP_004225	Inf	0.01052
LP_002179	Inf	0.01063
LP_36986	Inf	0.01093
LP_34819	Inf	0.01183
LP_34749	Inf	0.01184
LP_36412	Inf	0.01222
LP_29515	Inf	0.01243
LP_35001	Inf	0.01344
LP_002289	Inf	0.01396
LP_004544	Inf	0.01605
LP_37187	Inf	0.01681
LP_30884	Inf	0.01682
LP_37188	Inf	0.01721
LP_19551	Inf	0.01859
LP_37035	Inf	0.01992
LP_24810	Inf	0.02
LP_36413	Inf	0.02114
LP_37330	Inf	0.0218
LP_000851	Inf	0.02432
PP_035327	Inf	0.0269
LP_001827	Inf	0.0286
LP_19912	Inf	0.02959
LP_27026	Inf	0.0302
LP_38369	Inf	0.03129
LP_37912	Inf	0.03222
PN_022850	Inf	0.03244
LP_003774	Inf	0.03269
LP_37871	Inf	0.03334
GC_010	Inf	0.03577
LP_19486	Inf	0.0361
LP_001794	Inf	0.04023
LP_37913	Inf	0.0411
LP_35443	Inf	0.04158
LP_004676	Inf	0.04641
LP_38401	Inf	0.04747
LP_37291	Inf	0.04815
LP_31840	Inf	0.04864
LP_33434	Inf	0.04872
LP_37954	Inf	0.04914
