FC..class1.class2.	P.value
hsa-miR-1291	-1.05020363137679	3.704e-06
hsa-miR-4709-5p	-0.754869468588167	6.648e-05
hsa-miR-5001-3p	-0.73792771160159	8.135e-05
hsa-miR-24-1-5p	-0.763415541886825	9.898e-05
hsa-miR-6734-5p	-0.736004117928761	0.0001535
hsa-miR-181d-5p	-0.710283551513701	0.0001726
hsa-miR-375-3p	-0.663145360874535	0.000365
hsa-miR-95-3p	-0.618827395283202	0.0003741
hsa-miR-3131	-0.663373834236464	0.0003834
hsa-miR-1273c	-0.621932351219966	0.0004762
hsa-miR-216b-5p	-0.649729075771596	0.0005546
hsa-miR-3183	-0.645886407507623	0.0005641
hsa-miR-708-5p	-0.500013835578126	0.0005939
hsa-miR-641	-0.604717795867767	0.0007361
hsa-miR-4687-3p	-0.611094115960931	0.000842
hsa-miR-3940-5p	-0.553002759323611	0.0009272
hsa-miR-32-5p	-0.534077760696063	0.001053
hsa-miR-33b-3p	-0.554273296650016	0.001389
hsa-miR-10395-3p	-0.533033615726921	0.001415
hsa-miR-449c-5p	-0.573466861883327	0.001452
hsa-miR-450b-5p	-0.5263689234488	0.001534
hsa-miR-548k	-0.54814270552346	0.001778
hsa-miR-943	-0.532824877385981	0.001788
hsa-miR-1284	-0.52865644038928	0.001793
hsa-miR-6502-5p	-0.475936324222789	0.002149
hsa-miR-1292-5p	-0.502259911390907	0.002312
hsa-miR-222-5p	-0.50635266602479	0.002374
hsa-miR-7844-5p	-0.492484413520771	0.00238
hsa-miR-519a-5p	-0.485397973557959	0.002499
hsa-miR-500a-5p	-0.460965297029246	0.002836
hsa-miR-4661-5p	-0.456405135747399	0.00285
hsa-miR-10523-5p	-0.446344597667109	0.00306
hsa-miR-32-3p	-0.4813641528372	0.003148
hsa-miR-548w	-0.529905707352221	0.003149
hsa-miR-3661	-0.218766199900666	0.003165
hsa-miR-6871-3p	-0.495328764614261	0.003243
hsa-miR-191-3p	-0.532198843511593	0.003323
hsa-miR-486-3p	-0.415229871442725	0.003906
hsa-miR-6720-3p	-0.440655033458114	0.003969
hsa-miR-6780a-5p	-0.447918089346892	0.004463
hsa-miR-3177-3p	-0.45600928033515	0.004475
hsa-miR-4286	-0.405451450449646	0.004538
hsa-miR-548p	-0.364384894130257	0.004878
hsa-miR-516a-5p	-0.416769772900081	0.004954
hsa-miR-454-5p	-0.417347659966045	0.004988
hsa-miR-125b-2-3p	-0.363642193964105	0.005078
hsa-miR-6735-3p	-0.395359303815341	0.005372
hsa-miR-4645-3p	-0.385714193880954	0.005704
hsa-miR-664b-5p	-0.410428246026254	0.005806
hsa-miR-301a-5p	-0.40258801244535	0.005854
hsa-miR-378a-5p	-0.371273056968673	0.006021
hsa-miR-181b-3p	-0.341171575656346	0.006347
hsa-miR-4753-5p	-0.379319758775699	0.006424
hsa-miR-642a-3p	-0.398018300167363	0.006645
hsa-miR-4731-5p	-0.382325374531319	0.006799
hsa-miR-128-1-5p	-0.400682206301774	0.006828
hsa-miR-3922-5p	-0.382325374531319	0.006834
hsa-miR-126-5p	-0.369967366106233	0.006837
hsa-miR-1914-5p	-0.367359524134368	0.007576
hsa-miR-9985	-0.352178966598703	0.00782
hsa-miR-5008-3p	-0.363456578648199	0.007906
hsa-miR-4802-3p	-0.3503385593573	0.007988
hsa-miR-199b-5p	-0.35089043505707	0.008304
hsa-miR-576-5p	-0.336245517616654	0.008838
hsa-miR-522-5p	-0.33442531167133	0.01051
hsa-miR-519b-5p	-0.33442531167133	0.01065
hsa-miR-4479	-0.38364230300331	0.01076
hsa-miR-518e-5p	-0.33442531167133	0.01079
hsa-miR-519c-5p	-0.33442531167133	0.01081
hsa-miR-523-5p	-0.33442531167133	0.01082
hsa-miR-642a-5p	-0.341171575656346	0.01122
hsa-miR-4750-5p	-0.359564163380412	0.01127
hsa-miR-6812-5p	-0.320305975237679	0.01167
hsa-miR-548az-5p	-0.294597079870272	0.01181
hsa-miR-550a-3-5p	-0.384395373640734	0.01201
hsa-miR-6798-3p	-0.312222622603695	0.01217
hsa-miR-450a-1-3p	-0.310253561506444	0.01239
hsa-miR-224-3p	-0.338068022963733	0.0125
hsa-miR-4786-5p	-0.322830061181755	0.01264
hsa-miR-6797-3p	-0.314912044324971	0.01266
hsa-miR-100-3p	-0.324635687250854	0.01272
hsa-miR-5004-3p	-0.326262685151254	0.01296
hsa-miR-6763-5p	-0.3084658350808	0.01315
hsa-miR-6818-3p	-0.314553164959715	0.01322
hsa-miR-550a-5p	-0.384395373640734	0.01345
hsa-miR-7850-5p	-0.399349638378805	0.01405
hsa-miR-5188	-0.321928094887362	0.01422
hsa-miR-20b-5p	-0.330247532744238	0.01425
hsa-miR-9898	-0.399349638378805	0.01468
hsa-miR-491-5p	-0.271774706240224	0.01497
hsa-miR-1343-3p	-0.279458852453401	0.01546
hsa-miR-146b-3p	-0.298317879704717	0.01588
hsa-miR-6720-5p	-0.284018796811603	0.01662
hsa-miR-6772-3p	-0.276310389669385	0.01688
hsa-miR-11399	-0.339527686718844	0.01719
hsa-miR-3944-5p	-0.327348370671615	0.01755
hsa-miR-450a-2-3p	-0.243659847748147	0.01805
hsa-miR-7976	-0.244001516202293	0.01831
hsa-miR-6751-5p	-0.382325374531319	0.01841
hsa-miR-148b-3p	-0.267079617891743	0.01841
hsa-miR-3187-5p	-0.298317879704717	0.01843
hsa-miR-10401-3p	-0.279984264917195	0.01872
hsa-miR-455-3p	-0.246053227912235	0.01916
hsa-miR-24-2-5p	-0.252397769725057	0.0192
hsa-miR-7114-5p	-0.383265915043729	0.01926
hsa-miR-1304-3p	-0.246737780732143	0.02005
hsa-miR-6729-5p	-0.242806030453363	0.02015
hsa-miR-1283	-0.2172559636048	0.02056
hsa-miR-195-5p	-0.223306417658407	0.02062
hsa-miR-149-3p	-0.258425152581204	0.02084
hsa-miR-7113-5p	-0.237693710997118	0.02142
hsa-miR-6820-3p	-0.331699301461351	0.02145
hsa-miR-6858-3p	-0.244514170649224	0.02179
hsa-miR-324-3p	-0.321387185661171	0.02189
hsa-miR-328-3p	-0.21943792382894	0.02226
hsa-miR-454-3p	-0.234634992450195	0.02285
hsa-miR-548ah-3p	-0.237183474018894	0.02345
hsa-miR-99a-5p	-0.212400373089006	0.02372
hsa-miR-4707-3p	-0.144329165559629	0.02376
hsa-miR-103a-2-5p	-0.25256963166354	0.02444
hsa-miR-663b	-0.226678777868338	0.02453
hsa-miR-422a	-0.214072869266219	0.02504
hsa-miR-132-3p	-0.203734511047794	0.02549
hsa-miR-548am-3p	-0.294951028606318	0.02564
hsa-miR-181c-3p	-0.222632890549587	0.02609
hsa-miR-632	-0.313477062194093	0.02616
hsa-miR-6741-3p	-0.195946441032647	0.02675
hsa-miR-4797-3p	-0.193469710740434	0.02746
hsa-miR-197-5p	-0.266038336691079	0.02796
hsa-miR-181a-2-3p	-0.192315356756893	0.02814
hsa-miR-92a-1-5p	-0.155694699836063	0.02819
hsa-miR-3613-3p	-0.142894837314668	0.02883
hsa-miR-576-3p	-0.257562554623734	0.02911
hsa-miR-543	-0.191326645096798	0.03033
hsa-miR-1226-3p	-0.31079031169837	0.03098
hsa-miR-628-5p	-0.183932827097824	0.0311
hsa-miR-548n	-0.197765416051509	0.0318
hsa-miR-3157-3p	-0.166988500841638	0.0326
hsa-miR-25-5p	-0.186557400948926	0.03377
hsa-miR-2276-3p	-0.184588523071337	0.03403
hsa-miR-505-5p	-0.238033969263056	0.0342
hsa-miR-4690-3p	-0.324635687250854	0.03499
hsa-miR-484	-0.147361882921011	0.03561
hsa-miR-4738-3p	-0.16682653676166	0.03583
hsa-miR-378i	-0.152965210880434	0.0365
hsa-miR-615-3p	-0.123276793484833	0.03655
hsa-miR-4429	-0.170718702002469	0.03658
hsa-miR-374a-3p	-0.107181572204967	0.03689
hsa-miR-96-5p	-0.161491897219344	0.03708
hsa-miR-217-5p	-0.223811769420556	0.03764
hsa-miR-22-5p	-0.276834656542415	0.03804
hsa-miR-501-3p	-0.148800661406706	0.03818
hsa-miR-296-5p	-0.172831350707969	0.03823
hsa-miR-152-5p	-0.134160347841338	0.03885
hsa-miR-549a-5p	-0.171693386224356	0.03956
hsa-miR-664a-3p	-0.233616858998702	0.03996
hsa-miR-522-3p	-0.243147496736824	0.04025
hsa-miR-548aa	-0.162298909066135	0.04055
hsa-miR-548av-3p	-0.164560946775875	0.0417
hsa-miR-183-3p	-0.276485124126195	0.04295
hsa-miR-6511a-3p	-0.228536941634349	0.04301
hsa-miR-6755-5p	-0.128944924913371	0.04323
hsa-miR-598-3p	-0.196938324908699	0.04324
hsa-miR-149-5p	-0.123905487270091	0.04368
hsa-miR-1307-5p	-0.113098732313508	0.04445
hsa-miR-708-3p	-0.159395776645905	0.04446
hsa-miR-4671-5p	-0.212066106395924	0.04447
hsa-miR-509-3-5p	-0.155694699836063	0.04489
hsa-miR-12114	-0.237863830098888	0.04581
hsa-miR-548ae-5p	-0.152804813410605	0.04585
hsa-miR-4727-3p	-0.152804813410605	0.04587
hsa-miR-147b-5p	-0.0257643957909293	0.0459
hsa-miR-363-3p	-0.241611534520648	0.04599
hsa-miR-7977	-0.152804813410605	0.04608
hsa-miR-19a-3p	-0.155694699836063	0.04621
hsa-miR-1278	-0.136061549576028	0.04627
hsa-miR-219a-5p	-0.155694699836063	0.0463
hsa-miR-4449	-0.152804813410605	0.0463
hsa-miR-3184-3p	-0.152804813410605	0.04633
hsa-miR-3198	-0.152804813410605	0.04636
hsa-miR-365a-5p	-0.130365444186607	0.04638
hsa-miR-142-3p	-0.152804813410605	0.04644
hsa-miR-205-5p	-0.152804813410605	0.04645
hsa-miR-3157-5p	-0.0911102530262792	0.0465
hsa-miR-3941	-0.155694699836063	0.04655
hsa-miR-323b-3p	-0.155694699836063	0.04667
hsa-miR-5584-3p	-0.152804813410605	0.04684
hsa-miR-26b-3p	-0.250508638397475	0.04692
hsa-miR-4794	-0.152804813410605	0.04693
hsa-miR-433-3p	-0.154570167148848	0.04701
hsa-miR-338-5p	-0.152804813410605	0.0471
