gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
hsa-miR-5091	1590	1.587	-1.36922178725714	1.728e-06	6.504e-10
hsa-miR-489-3p	1518	1.817	-1.38571419388095	1.708e-06	1.286e-09
hsa-miR-103a-2-5p	44	7.047	-1.08253005332081	0.0003852	4.351e-07
hsa-miR-4647	1247	8.662	-1.05439229681863	0.0006382	9.612e-07
hsa-miR-625-5p	1984	10.08	-1.01187886953598	0.0009056	1.705e-06
hsa-miR-576-3p	1884	10.16	-0.973695675648091	0.0007787	1.759e-06
hsa-miR-3187-3p	686	10.59	-0.991656541470665	0.000779	2.053e-06
hsa-miR-3936	944	10.78	-0.988790638579697	0.0007292	2.196e-06
hsa-miR-130a-5p	254	12.08	-0.947584105848861	0.0009902	3.355e-06
hsa-miR-19b-3p	423	12.81	-0.972845948496273	0.001105	4.161e-06
hsa-miR-301b-5p	551	14.23	-0.933187490100098	0.001475	6.11e-06
hsa-miR-3158-3p	648	17.88	-0.89888784152585	0.002984	1.348e-05
hsa-miR-183-3p	357	18.91	-0.87434889833848	0.003335	1.632e-05
hsa-miR-4677-3p	1298	19.14	-0.866699523770224	0.003224	1.699e-05
hsa-miR-215-5p	471	19.83	-0.864333803030956	0.003394	1.917e-05
hsa-miR-548am-3p	1722	20.04	-0.85464861442738	0.003296	1.986e-05
hsa-miR-18a-5p	370	21.6	-0.845028011683616	0.003985	2.551e-05
hsa-miR-5581-3p	1812	22.24	-0.830331500476914	0.004148	2.811e-05
hsa-miR-10401-3p	49	22.47	-0.821890923905675	0.004061	2.905e-05
hsa-miR-4683	1306	22.6	-0.83341308592955	0.003937	2.965e-05
hsa-miR-549a-3p	1786	24.35	-0.79911904571404	0.004786	3.784e-05
hsa-miR-940	2627	24.94	-0.756330919033137	0.00494	4.092e-05
hsa-miR-29b-3p	544	25.12	-0.797112166529857	0.004844	4.194e-05
hsa-miR-1910-5p	382	25.18	-0.792856795058251	0.004674	4.223e-05
hsa-miR-542-3p	1698	33.62	-0.717856771218502	0.01133	0.0001067
hsa-miR-1304-5p	247	34.23	-0.722372252340995	0.01153	0.0001129
hsa-miR-340-5p	746	34.6	-0.710047527784604	0.01148	0.0001167
hsa-miR-1262	181	35.43	-0.695021764196039	0.01192	0.0001257
hsa-miR-3180	675	37.48	-0.676226436308528	0.01372	0.0001499
hsa-miR-4286	1016	38.41	-0.689659879387849	0.01432	0.0001617
hsa-miR-3180-3p	676	39.45	-0.676226436308528	0.01505	0.0001756
hsa-miR-584-3p	1897	41	-0.674153101761185	0.01643	0.0001979
hsa-miR-551b-5p	1795	44.02	-0.613961640111386	0.01981	0.0002461
hsa-miR-11401	72	44.66	-0.635987946441385	0.02008	0.0002571
hsa-miR-203a-3p	432	45.07	-0.636885005410682	0.02006	0.0002644
