FC..class1.class2.	P.value
ENSG00000206503	1.54835367211605	1.426e-12
ENSG00000168282	1.32698638471039	1.836e-11
ENSG00000159884	1.18508049069448	1.138e-10
ENSG00000167996	0.924125133024872	3.825e-09
ENSG00000230882	0.927139598068755	6.426e-09
ENSG00000178531	0.881241611020165	9.837e-09
ENSG00000269688	0.821890923905675	2.201e-08
ENSG00000198598	0.809954113105561	3.463e-08
ENSG00000243449	0.751222306350288	1.213e-07
ENSG00000001630	0.736004117928761	1.215e-07
ENSG00000115286	0.71477535453214	2.066e-07
ENSG00000262814	0.689194568936827	2.867e-07
ENSG00000171222	0.697593205442274	2.985e-07
ENSG00000131188	0.689194568936827	3.197e-07
ENSG00000103254	0.687799537362322	3.197e-07
ENSG00000177045	0.694788223921812	3.215e-07
ENSG00000152475	0.702984711585528	3.433e-07
ENSG00000160972	0.644532611623901	8.181e-07
ENSG00000127774	0.640029111663249	1.25e-06
ENSG00000161677	0.622154389703034	1.44e-06
ENSG00000104899	0.615287037577954	1.967e-06
ENSG00000152082	0.590527596324933	2.115e-06
ENSG00000126353	0.603182897130962	2.683e-06
ENSG00000187796	0.601430724405017	2.719e-06
ENSG00000141933	0.585323219573114	3.205e-06
ENSG00000212123	0.574970452473714	4.286e-06
ENSG00000131187	0.552579495409503	4.674e-06
ENSG00000188747	0.574970452473714	4.689e-06
ENSG00000099625	0.568323558607367	4.71e-06
ENSG00000100764	0.557242242365229	4.869e-06
ENSG00000105376	0.553849659870907	5.48e-06
ENSG00000174276	0.547299147516156	6.037e-06
ENSG00000107872	0.537214737450369	7.317e-06
ENSG00000130513	0.538471440527123	9.055e-06
ENSG00000176826	0.564478078656072	9.872e-06
ENSG00000002330	0.519528054772523	1.108e-05
ENSG00000171223	0.516429259908444	1.156e-05
ENSG00000158106	0.520769438793664	1.162e-05
ENSG00000197483	0.529905707352221	1.201e-05
ENSG00000103326	0.510046098668694	1.43e-05
ENSG00000211450	0.501238534328148	1.577e-05
ENSG00000161847	0.495125410601536	1.611e-05
ENSG00000122386	0.503077533991929	1.666e-05
ENSG00000116132	0.487216879082637	2.667e-05
ENSG00000165644	0.481162757563488	2.682e-05
ENSG00000233198	0.477743332373299	2.796e-05
ENSG00000160256	0.472128945698427	3.024e-05
ENSG00000108106	0.471728752896724	3.235e-05
ENSG00000115266	0.461958546666336	4.043e-05
ENSG00000149761	0.459972730742493	4.136e-05
ENSG00000197530	0.463350245979966	4.192e-05
ENSG00000103024	0.461561164749242	4.388e-05
ENSG00000065054	0.457197172572611	4.394e-05
ENSG00000198816	0.453241329565227	4.65e-05
ENSG00000130479	0.454624641127441	4.733e-05
ENSG00000163219	0.453043821858589	4.861e-05
ENSG00000280287	0.483581358366132	5.094e-05
ENSG00000101084	0.450478679210362	5.1e-05
ENSG00000160813	0.449493299047139	5.283e-05
ENSG00000118804	0.449887370352755	5.395e-05
ENSG00000196660	0.447918089346892	5.415e-05
ENSG00000229117	0.460568188565167	5.51e-05
ENSG00000182871	0.446737809727567	5.62e-05
ENSG00000130702	0.451267468208081	5.712e-05
ENSG00000204335	0.443791328260415	5.746e-05
ENSG00000258472	0.440850852262743	6.365e-05
ENSG00000260260	0.482976327935419	6.624e-05
ENSG00000188483	0.436744228567011	6.805e-05
ENSG00000173621	0.439480678455631	6.898e-05
ENSG00000165804	0.440067736466128	6.965e-05
ENSG00000139725	0.443202753407257	7.085e-05
ENSG00000167136	0.434402824145775	7.547e-05
ENSG00000269427	0.430703354438355	7.773e-05
ENSG00000165879	0.431092325872604	7.926e-05
ENSG00000163623	0.433818066301835	8.122e-05
ENSG00000169302	0.445558494914578	8.183e-05
ENSG00000130511	0.427595352609668	8.671e-05
ENSG00000127564	0.419661525804291	9.735e-05
ENSG00000173272	0.418504128998623	0.0001058
ENSG00000104524	0.419661525804291	0.0001061
ENSG00000005001	0.42101299666742	0.0001087
ENSG00000177943	0.428954279614029	0.0001132
ENSG00000230715	0.415614692741589	0.000116
ENSG00000115257	0.417347659966045	0.0001172
ENSG00000274272	0.415807141890262	0.0001189
ENSG00000204060	0.41119543298445	0.0001189
ENSG00000153982	0.439676337917637	0.0001243
ENSG00000184897	0.412923096735323	0.0001251
ENSG00000160284	0.411579179506433	0.0001271
ENSG00000177595	0.411387293486214	0.0001297
ENSG00000007080	0.409469835680179	0.0001327
ENSG00000184916	0.406789668962906	0.0001399
ENSG00000163888	0.406980944407785	0.0001402
ENSG00000215915	0.443202753407257	0.0001407
ENSG00000131591	0.406024820679444	0.0001465
ENSG00000118513	0.404878308003828	0.0001472
ENSG00000236255	0.407363571393423	0.0001581
ENSG00000188157	0.39649827364362	0.0001672
ENSG00000173110	0.401063166177473	0.0001679
ENSG00000130751	0.401063166177473	0.0001708
ENSG00000171443	0.411387293486214	0.0001708
ENSG00000127533	0.398778914415054	0.0001712
ENSG00000164897	0.394221232464536	0.0001932
ENSG00000073670	0.396118517115792	0.0001934
ENSG00000103152	0.39497984693759	0.0001964
ENSG00000091137	0.394031641158542	0.0002005
ENSG00000198569	0.397828209246621	0.0002046
ENSG00000229932	0.387411593301282	0.0002203
ENSG00000180336	0.385902695225821	0.0002278
