hgnc_symbol	FC..class1.class2.	P.value
STPG1	-0.149259365499623	0.02286
SEMA3F	-0.16478627814334	0.01967
CYP51A1	0.736004117928761	1.215e-07
BAD	0.519528054772523	1.108e-05
ARHGAP33	0.216250016992825	0.00846
CALCR	-0.255802836602718	0.001914
PRSS22	0.42101299666742	0.0001087
LIG3	-0.13224779829844	0.03333
REXO5	-0.15704371014558	0.01904
SPPL2B	0.197103705208174	0.01148
CROT	0.13907691900078	0.03546
REX1BD	0.275437034693329	0.002298
MAP3K14	-0.140124223909071	0.02754
TMEM132A	0.248450585208394	0.00404
CX3CL1	-0.167357927738514	0.01861
TBXA2R	0.129418275945414	0.04529
CDKL3	-0.199122642013601	0.008584
CCDC124	0.409469835680179	0.0001327
RPUSD1	0.254117311097741	0.003591
BAIAP3	0.306145097646435	0.001267
TSR3	0.221623189091677	0.007109
PIGQ	0.189022282875856	0.01491
NOX1	-0.172487515510134	0.0126
E2F2	-0.16478627814334	0.0146
CDK11A	0.260843174286054	0.003284
CELSR3	0.154570167148848	0.02947
SS18L2	-0.121678556588252	0.046
PKD1	0.340806105093052	0.0005975
TENM1	-0.452068230223811	1.773e-05
MLXIPL	0.26413127092642	0.003511
ETV7	-0.14535138557262	0.03559
IFFO1	-0.180147861158429	0.009816
BTBD7	-0.206643223983395	0.005049
APBA3	0.330973234490369	0.0007212
PRICKLE3	-0.166072675946706	0.01833
EHD3	-0.181420640280142	0.01294
GPRC5A	-0.189033824390017	0.009221
ZC3H3	0.148800661406706	0.03332
NUDCD3	-0.126972856257766	0.04049
CYP24A1	-0.264236151043547	0.001222
NLRP2	-0.126972856257766	0.0462
RNH1	0.23854450717728	0.005096
ABCC2	-0.186500557644495	0.01063
NR1H3	-0.257010618206024	0.001605
TYMP	0.202571917847687	0.01114
RTEL1-TNFRSF6B	0.187214291132564	0.01845
AGPAT4	-0.176322772640463	0.0107
TNFRSF1B	-0.276198865032242	0.0009195
ANK1	-0.130930869826449	0.03945
TFB1M	-0.126972856257766	0.04132
HMGB3	0.154570167148848	0.02534
PNPLA6	0.174621396107069	0.0191
APBA2	-0.136191386287144	0.03589
DAPK2	-0.160920188181103	0.0181
MYO16	0.282263266002518	0.002109
GPM6B	0.144010302691519	0.02804
SNX29	-0.120351940365222	0.04856
COL9A2	0.363456578648199	0.0003676
TNFRSF9	0.179351280642812	0.02006
PPP1R3F	0.220109960659953	0.007229
ARHGEF5	-0.14535138557262	0.02555
BCAR1	0.344831382390408	0.0005333
HERPUD1	-0.146655222119465	0.02353
CYBA	0.271252274570242	0.002541
NRIP2	-0.141432790929296	0.03781
ARID4B	0.13495221077405	0.04085
SDCCAG8	-0.0976107966264223	0.02354
PRDM1	-0.12961273813047	0.03719
CAMK2B	-0.225274929869569	0.004365
CROCC	0.320846479161911	0.0009106
FLYWCH1	0.198758551731541	0.01112
UNKL	0.17869796011047	0.01657
STYK1	-0.217851096811131	0.003775
OGFR	0.345747786563309	0.0005456
TNK2	0.217591435072627	0.007432
DGAT2	0.170556318633409	0.01887
MRPS24	-0.0989584800881688	0.04116
POLD1	0.217926984566148	0.007408
SPHK2	0.169906967867011	0.0193
EPN1	0.274215225257745	0.002383
GPC1	0.293358942690592	0.001632
ADCK1	-0.332278283056929	0.0002679
ATP2C2	-0.12961273813047	0.02811
CDON	-0.121678556588252	0.04849
ABCA7	0.247765219380355	0.004451
SBNO2	0.225834948493583	0.006458
HMG20B	0.145605322246899	0.03198
SLC9A3R2	0.457197172572611	4.394e-05
NTHL1	0.224148768964459	0.006896
WDR18	0.255666652618641	0.003374
PDIA5	-0.15704371014558	0.01854
COL17A1	-0.140124223909071	0.02707
ASPM	-0.11503324294624	0.03569
POLR1H	-0.154453592679872	0.02073
FECH	-0.130930869826449	0.03628
PKM	-0.150559676575381	0.02301
PRKCZ	-0.211635253327149	0.00441
IFI35	-0.160920188181103	0.0157
PLEKHH3	0.26274589567567	0.003101
PITX1	0.272471576216768	0.002951
BCL3	0.144010302691519	0.03197
MAOB	0.0429026029362672	0.02462
SPTB	0.346114511283354	0.0009645
CLTCL1	-0.249748715083569	0.001745
RNF126	0.221623189091677	0.006671
WIPI1	-0.137503523749935	0.02899
TRIP13	-0.126972856257766	0.03964
TCF3	0.195285563769194	0.0114
DAZAP1	0.141143703808663	0.03436
MBD3	0.3084658350808	0.001222
FAM3A	0.162621840246193	0.02156
LNX1	0.103456884144101	0.01007
SREBF1	0.15200309344505	0.02856
ACAP1	-0.167357927738514	0.01447
PANX2	0.162137470578763	0.02738
SELENOO	0.234804751236163	0.005605
ADAM11	0.396118517115792	0.0001934
PTGS2	0.396118517115792	0.0002771
FRY	-0.12961273813047	0.03855
MRPS34	0.195450754705528	0.01167
CA12	-0.189033824390017	0.008146
ANO8	0.173644732384185	0.02309
FNDC3B	-0.138814468902282	0.02811
FSCN1	0.152804813410605	0.02845
SLC46A1	-0.293958979028694	0.0005414
PLXNA2	-0.196607044094818	0.00641
CAMSAP3	0.173644732384185	0.0236
RAP1GAP	-0.305678743242287	0.0004995
MAP2K7	0.13511063553025	0.04057
SIRT6	0.293889442803533	0.001631
REXO1	0.169906967867011	0.01987
CIC	0.236163541109049	0.005057
LIPE	0.222632890549587	0.008344
RABL2B	-0.191562650700756	0.007718
HSP90AA1	0.138441580427971	0.04231
CROCCP3	0.219269963523624	0.009445
COL4A4	-0.177598929327733	0.01202
TCF7	-0.140124223909071	0.03058
ARG2	-0.142740172116082	0.02663
AACS	-0.138814468902282	0.02957
P2RX5	-0.204140716780225	0.00612
SLC27A5	-0.162210036314307	0.02078
GCKR	-0.121678556588252	0.04661
MAPRE3	-0.172487515510134	0.01208
CD82	-0.134878054343112	0.03093
ZNF213	0.172018427352438	0.01839
TTC39A	0.223138006400305	0.006958
CHERP	0.24965075941585	0.004035
POMGNT1	-0.124328135002202	0.04223
MRPL28	0.160040412510468	0.02305
TRIP6	0.126423005703037	0.04659
GNAO1	-0.150559676575381	0.0231
TFAP2C	-0.141432790929296	0.02831
GNA11	0.238374307797517	0.004862
ASAP3	-0.16349873228288	0.01623
ARHGAP28	0.136061549576028	0.03919
PPP1R13B	-0.141432790929296	0.02674
SLC4A11	0.15200309344505	0.0335
LZTS3	0.128944924913371	0.04646
OAS1	-0.173767067736706	0.01609
CDIP1	-0.128293401009818	0.04746
ARHGAP4	0.177718533704293	0.01863
LTBP4	0.366057368764396	0.0003315
CERS4	-0.133563525741106	0.03747
EFNB1	0.142894837314668	0.03446
DTX2	0.179351280642812	0.01665
NRCAM	0.216920570126388	0.01096
