gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
ENSG00000204632	4423	1.587	2.15714181674402	6.548e-08	4.8e-12
ENSG00000269688	12805	1.587	2.04037820152072	3.274e-08	4.8e-12
ENSG00000237719	4522	3.915	1.04097178105631	1.38e-06	3.034e-10
ENSG00000092295	9514	11.66	0.708396441969435	7.391e-05	2.167e-08
ENSG00000269028	2732	12.97	0.788115598059695	8.794e-05	3.223e-08
ENSG00000164776	5168	15.92	0.63486740654747	0.0001552	6.824e-08
ENSG00000236255	1909	19.77	0.659494699326015	0.000292	1.498e-07
ENSG00000260853	10529	23.94	0.579921884020626	0.0005079	2.978e-07
ENSG00000267940	7190	25.99	0.569393569070189	0.0005991	3.952e-07
ENSG00000230897	11028	26.28	0.712645914970793	0.0005601	4.106e-07
ENSG00000224975	5760	29.11	0.549831302691671	0.0007221	5.822e-07
ENSG00000136689	1898	34.36	0.553426147453103	0.001157	1.018e-06
ENSG00000238018	1636	36.98	0.504100214293411	0.001364	1.3e-06
ENSG00000249853	4783	39.3	0.498994046858991	0.001548	1.589e-06
ENSG00000143995	1681	45.47	0.484388460507959	0.002328	2.559e-06
ENSG00000180336	11320	46.46	0.483177976554224	0.002341	2.745e-06
ENSG00000242622	2803	54.87	0.462753639020927	0.00376	4.685e-06
ENSG00000100764	9783	56.63	0.461362514829357	0.003928	5.183e-06
ENSG00000270060	7348	56.7	0.468531200589823	0.003736	5.203e-06
ENSG00000279794	13138	58.22	0.469929257774916	0.003859	5.657e-06
ENSG00000111325	9140	59.18	0.449887370352755	0.003872	5.96e-06
ENSG00000235865	6911	60.13	0.446148031818874	0.003886	6.267e-06
ENSG00000243753	4428	63.2	0.483581358366132	0.004351	7.336e-06
ENSG00000260005	11629	63.87	0.443595109961454	0.00431	7.583e-06
ENSG00000198744	6	67.08	0.447131128988697	0.004828	8.848e-06
ENSG00000183111	4125	69.59	0.453043821858589	0.005207	9.925e-06
ENSG00000169282	2958	72.49	0.430508908041284	0.005698	1.128e-05
ENSG00000167136	6994	84.48	0.412538992622062	0.008826	1.812e-05
ENSG00000189136	10221	87.81	0.402778731599688	0.009598	2.04e-05
ENSG00000238113	6721	87.92	0.402016006210054	0.009314	2.048e-05
ENSG00000267934	12687	94.02	0.402016006210054	0.01107	2.515e-05
