FC..class1.class2.	P.value
MCAM	1.81229284487327	4.194e-06
SDCBP	1.4905701304462	6.038e-06
ARL2	0.892196710465485	6.957e-06
NUMB	0.909197062991687	7.243e-06
SSR3	2.12730310578213	9.497e-06
WDR6	0.869476633965402	1.005e-05
UQCRQ	0.849599011151452	1.403e-05
CD82	2.18966644665005	1.462e-05
LIMS1	0.788268082866837	2.398e-05
NAF1	0.762986564880576	3.089e-05
RRP15	2.06108492060131	3.826e-05
HIST2H2BE;HIST1H2BB;HIST1H2BO;HIST3H2BB	0.781569544815974	3.985e-05
GTF3C4	0.717210299019596	4.164e-05
RAP1B	2.00432160595009	4.412e-05
ATP6V0A1	1.85399564717639	5.657e-05
GPATCH8	1.71808758396052	5.895e-05
STX7	0.621993231666123	0.0001155
TUBB2A	0.623866861852698	0.0001426
CTBP1	0.603121869839996	0.0001526
DDX52	0.608809242675524	0.000156
ATP5H	0.609754962172443	0.0001728
COX5A	0.599317793698226	0.0001886
NAA25	0.587845009254277	0.0001915
VPS28	0.591679416935737	0.0002016
PPIA	0.600269753509005	0.0002025
OSBPL2	0.564622052436981	0.0002328
TIMP2	0.574343753920013	0.0002469
CIRBP	0.554834395894193	0.0002921
LSM1	0.550900664647523	0.0003171
HSP90AB2P	0.553851968181126	0.0003315
DHFR	0.550900664647523	0.0003321
NDUFS2	0.563646269484064	0.0003664
PPM1B	0.783247097378117	0.0003796
RNF114	0.530070742225084	0.0004136
ACAD9	0.566571640626761	0.0004377
CHID1	0.521050736900963	0.0004642
VRK1	0.527070335512661	0.0004721
SRSF2	0.51500591643373	0.0005464
MAP7D1	0.489542935642474	0.0006474
GOPC	0.489542935642474	0.0006586
CLPP	0.496717987935177	0.0006939
HNRNPK	0.492622328574446	0.0007939
SORT1	0.468843942974637	0.0008312
RBM17	0.462575888042204	0.0009307
OXA1L	0.477159211186641	0.0009434
UCK2	0.455228571117139	0.0009758
DDX56	0.461528559472877	0.001011
C7orf50	0.443606651475615	0.001067
FAM134C	0.456280481510725	0.001109
DCTN4	0.443606651475615	0.00113
APOBEC3C	0.461528559472877	0.001176
MRPS17	0.43722773891291	0.00118
PDLIM4	0.454175893185802	0.001182
MRPS36	0.479230561206336	0.001188
PSMF1	0.476122419880152	0.001202
MTX1	0.457331625485014	0.001216
FIS1	0.446785562143122	0.001218
PPIL4	0.460480470040011	0.001243
ALAD	0.448900951145128	0.001264
RBM12B	0.452068230223811	0.001317
UBE2A	0.445726703349984	0.001332
ABHD14B	0.465713319595964	0.001352
HLA-DRA	0.439357178474257	0.001428
FAM98B	0.423309237242387	0.001474
MRPL4	0.429749850800216	0.001588
STEAP3	0.442545456105304	0.001607
TMEM106B	0.412510571249805	0.001739
ILKAP	0.430820496519772	0.001804
IGFBP7	0.408168370708106	0.001929
MPP5	0.430820496519772	0.001979
CST1	0.460480470040011	0.001989
ATP2B4	0.414676780426886	0.00203
SNX4	0.385154896884344	0.002332
HAGH	0.377401430785794	0.002368
ENO1	0.425459304765355	0.002413
MVB12A	0.381837083906047	0.002486
MRPL15	0.412510571249805	0.002516
MYL6	0.421155960662223	0.002577
UBE2D2;UBE2D4;UBE2D3;UBE2D1	0.372952097911829	0.002641
PGP	0.424384671538097	0.002749
SAAL1	0.389566811762726	0.002932
B2M	0.380729448503549	0.003214
LRRC59	0.35501626421955	0.00338
RPL27A	0.353887836284907	0.003426
VPS4A	0.382943869568991	0.00346
ZNF185	0.447843644362086	0.003493
FUBP1	0.370722275148167	0.003519
CST3	0.350497247084133	0.003524
ARL3	0.347098670622268	0.003557
AGFG1	0.387362540835996	0.003637
SNX27	0.375178479589612	0.003846
SOD1	0.357270475679559	0.003986
DHCR24	0.367371065648529	0.004127
UBE2N;UBE2NL	0.334568275666133	0.004229
THOC7	0.361768359419153	0.004243
ACTC1;ACTA1;ACTG2;ACTA2	0.341416524478722	0.004321
CHMP2A	0.38404980679516	0.004381
PTRHD1	0.337996463515016	0.004609
GLTP	0.321928094887362	0.004771
MINA	0.336854639125465	0.004927
WDR43	0.341416524478722	0.004984
SEPHS1	0.321928094887362	0.005122
LRRC8A	0.376290383337052	0.00515
VAV2	0.36289064266586	0.005297
ODR4	0.335711910320462	0.005329
NUDCD2	0.31034012061215	0.005535
RMDN1	0.313826296390398	0.005582
KEAP1	0.331131922217202	0.005617
TGFBR2	0.324234562270531	0.005806
MIF	0.306845500314283	0.005888
WDR77	0.305678743242287	0.006007
LGALS8	0.312665173558394	0.006147
FKBP1A	0.301002256032814	0.006179
CARM1	0.305678743242287	0.006216
BAP18	0.298658315564515	0.006296
NAP1L1	0.314986485468515	0.006449
ATXN3	0.400537929583729	0.007254
RPLP1	0.312665173558394	0.007312
PPID	0.293958979028694	0.007323
SREK1	0.2904244038653	0.007406
GATAD2B	0.348232419239271	0.007628
AAMDC	0.360645202460216	0.007898
UBE2Q1	0.309176187478515	0.007916
NHP2L1	0.285698125958125	0.007947
TLDC1	0.291603558030565	0.008338
PPP2R5E	0.293958979028694	0.008367
DECR1	0.277389698810864	0.008758
SETD3	0.284514133244245	0.008844
SRSF10	0.276198865032242	0.008979
APEH	0.289244285156642	0.009027
PRCP	0.312665173558394	0.009089
SEL1L	0.318461465167583	0.009212
HINT2	0.289244285156642	0.009323
TIMM13	0.269033146455237	0.00933
POLD1	0.277389698810864	0.009342
FN3KRP	0.273814244587037	0.009368
ATXN7L3B	0.334568275666133	0.009379
NDUFA8	0.277389698810864	0.009462
ALKBH5	0.353887836284907	0.009564
TBC1D13	0.279768421593595	0.009684
SF3B4	0.267835392097615	0.009743
CNDP2	0.265436896049098	0.01
GALK1	0.276198865032242	0.01006
ABCC1	0.270229907237998	0.0102
KANK2	0.277389698810864	0.01027
UFM1	0.269033146455237	0.01036
LACTB2	0.291603558030565	0.01038
SAR1B	0.291603558030565	0.0105
CC2D1B	0.293958979028694	0.01107
SUN2	0.329984649758421	0.01107
POLR1E	0.264236151043547	0.01145
MRPL13	0.27500704749987	0.01149
MID1	0.302172799740752	0.01165
NO66	0.308011314552178	0.01194
TXN	0.253384235800074	0.01203
SEC16A	0.255802836602718	0.01212
MDP1	0.296310560708092	0.01241
RPL7L1	0.255802836602718	0.01249
NUF2	0.249748715083569	0.01256
COA6	0.263034405833794	0.01259
LMAN2	0.248534836138679	0.01267
ALG9	0.283329168051641	0.01269
PTTG1IP	0.277389698810864	0.01295
GLRX5	0.248534836138679	0.01308
LMAN1	0.29983076182237	0.01327
CTGF	0.255802836602718	0.01347
RBM3	0.260627908126699	0.01348
USP47	0.306845500314283	0.01357
NELFA	0.282143228781498	0.01367
AK1	0.283329168051641	0.01379
SPTLC2	0.288063200325316	0.01413
RETSAT	0.249748715083569	0.01423
RAD18	0.2904244038653	0.0143
S100A4	0.246104009883917	0.01438
U2AF2	0.250961573533219	0.01478
PPP4C	0.233888060174277	0.01494
ATG5	0.276198865032242	0.01494
ACSS2	0.295135249000818	0.01538
NNT	0.250961573533219	0.0154
NDUFS8	0.235114320376357	0.01546
NUP50	0.232660756790275	0.01603
PALLD	0.227741075839128	0.01639
MMGT1	0.227741075839128	0.0167
GFM1	0.236339539168374	0.0172
NPM3	0.230203013366421	0.01755
PCMT1	0.22404027421793	0.01766
LAMTOR5	0.233888060174277	0.01798
RCOR1	0.231432408447965	0.01799
PSMG1	0.253384235800074	0.01807
PACSIN3	0.269033146455237	0.01838
PPM1F	0.22404027421793	0.01868
PELP1	0.220329954879556	0.01894
RPA3	0.220329954879556	0.01915
TBC1D4	0.222804561045261	0.01932
UBL4A	0.216610068742442	0.01936
NUP160	0.22404027421793	0.01943
RPS27L	0.236339539168374	0.01943
C9orf78	0.241230035515445	0.01945
BCL2L1	0.242450073677701	0.01955
FAM136A	0.233888060174277	0.01971
OSTF1	0.22404027421793	0.02039
PPP2R5D	0.22650852980868	0.02041
SNRPA1	0.230203013366421	0.02073
METAP1	0.212880566344385	0.02085
U2AF1;U2AF1L4	0.211635253327149	0.02183
EDIL3	0.243669080966863	0.02191
TUBB8	0.22650852980868	0.02196
STRN3	0.232660756790275	0.02226
HAUS5	0.260627908126699	0.0227
PPIL1	0.209141397838592	0.02271
CCAR2	0.205392512989685	0.02283
RAC1;RAC3	0.211635253327149	0.02299
EIF3F	0.20163386116965	0.02398
SPCS2	0.219091058246197	0.02437
TOP2B	0.221567788538409	0.02463
CLASP2	0.202887833470143	0.02474
VPS33A	0.244887059123534	0.02501
USP24	0.20163386116965	0.02502
EIF4H	0.20163386116965	0.02539
SNTB2	0.227741075839128	0.02549
UBA3	0.202887833470143	0.02602
NEDD4	0.238786859587116	0.02619
BLMH	0.197865391353738	0.02643
RTCA	0.211635253327149	0.02657
ARPC4	0.194087052116302	0.02665
HACD3	0.236339539168374	0.02665
TSC22D1	0.196607044094818	0.02712
ENO2	0.192825403552391	0.02714
CNIH4	0.196607044094818	0.02741
LPXN	0.215367972203479	0.02755
TCEB2	0.192825403552391	0.0276
PGRMC2	0.192825403552391	0.02765
ANKFY1	0.197865391353738	0.02795
ENOPH1	0.233888060174277	0.02804
NIF3L1	0.202887833470143	0.02831
PLCB3	0.191562650700756	0.02837
GAPDH	0.173767067736706	0.02852
TOE1	0.243669080966863	0.02864
GRB2	0.191562650700756	0.02888
EEF1B2	0.206643223983395	0.02914
PAPOLA	0.204140716780225	0.02922
PCBP2	0.196607044094818	0.02949
RINT1	0.202887833470143	0.0295
SHMT1	0.200378797984026	0.02998
ACOT2;ACOT1	0.0172092900322231	0.0307
USP10	0.186500557644495	0.03081
NUDT21	0.197865391353738	0.0309
RPL31	0.195347598322219	0.03123
MAVS	0.191562650700756	0.03193
TRIP6	0.183962834842595	0.03214
KIAA0020	0.189033824390017	0.03233
ATP6V1H	0.20163386116965	0.03247
DCUN1D5	0.196607044094818	0.03252
RBM15	0.18269229751619	0.03263
RBM34	0.180147861158429	0.03286
COX6B1	0.192825403552391	0.03298
CDK5	0.190298791626595	0.03331
AIFM2	0.180147861158429	0.03345
ACO1	0.177598929327733	0.03453
PWP1	0.175045486110914	0.03509
DERL1	0.176322772640463	0.03526
CORO7	0.191562650700756	0.0354
DDOST	0.183962834842595	0.0359
RPS24	0.185232254230161	0.03605
RBFOX2;RBFOX1	0.180147861158429	0.03637
PPP1R7	0.176322772640463	0.03639
PUM2	0.211635253327149	0.03655
SNRPE	0.180147861158429	0.0371
RAB9A	0.18269229751619	0.03719
GAR1	0.181420640280142	0.03729
PPP4R1	0.175045486110914	0.03736
PDE12	0.185232254230161	0.03854
MEA1	0.183962834842595	0.04004
CSTF3	0.167357927738514	0.04052
IVD	0.180147861158429	0.04066
MTHFD1L	0.172487515510134	0.04075
FAH	0.168642035558839	0.04097
MOCS2	0.178873958169795	0.04124
ATP6V1B2;ATP6V1B1	0.166072675946706	0.04128
UFL1	0.183962834842595	0.04154
PFDN5	0.171206827418142	0.04166
PSMA2	0.173767067736706	0.04217
NECAP2	0.166072675946706	0.04299
BANF1	0.173767067736706	0.04312
RAN	0.167357927738514	0.04369
RPL22	0.171206827418142	0.04416
VANGL1	0.243669080966863	0.04476
TUBG1;TUBG2	0.178873958169795	0.04538
RHOA	0.177598929327733	0.04541
MANF	0.16349873228288	0.04586
DDAH2	0.159629185821228	0.04654
NAA50	0.159629185821228	0.04657
SON	0.16478627814334	0.04686
PPP2R4	0.159629185821228	0.047
SRI	0.158337027167101	0.04716
ARF6	0.159629185821228	0.04762
G3BP2	0.158337027167101	0.04848
RPL21	0.160920188181103	0.04862
SNRPB;SNRPN	0.15704371014558	0.04863
ANXA4	0.171206827418142	0.04868
ACAT2	0.167357927738514	0.04903
CCDC58	0.173767067736706	0.0491
ZMPSTE24	0.160920188181103	0.04945
PODXL	0.173767067736706	0.04957
