gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
ARPC5	213	2.621	-1.12406270353362	1.465e-05	4.816e-09
APOA1BP	162	2.884	-1.12815635149068	1.123e-05	7.386e-09
SNAP29	2499	4.481	-1.09018850129166	4.851e-05	4.784e-08
TAX1BP3	2665	4.579	-1.09111025302628	3.972e-05	5.223e-08
RHOC	2200	7.663	-1.04632501555051	0.0002435	4.002e-07
RBM3	2168	7.83	-1.02855761068261	0.0002204	4.347e-07
TSC22D1	2806	8.653	-1.037710111709	0.0002769	6.372e-07
PPP1R13L	1944	9.158	-1.02326977932285	0.0003005	7.901e-07
UGCG	2893	9.283	-1.03091399347006	0.0002812	8.319e-07
CHML	458	11.2	-0.983075855742179	0.0005119	1.683e-06
ITGA5	1236	11.33	-0.999134642556747	0.0004869	1.761e-06
RP2	2224	16.4	-0.943693939668123	0.001707	6.734e-06
CNN3	508	17.15	-0.9403678401179	0.001838	7.855e-06
FAM98A	895	17.54	-0.9414756881592	0.001848	8.503e-06
RTCA	2332	17.88	-0.925768605814208	0.001839	9.067e-06
MPDU1	1459	19.89	-0.917842440914574	0.002479	1.304e-05
CHCHD2;CHCHD2P9	452	20.37	-0.918933119508112	0.002528	1.413e-05
CDK5	433	20.52	-0.911044317691782	0.002449	1.449e-05
SPCS3	2544	20.6	-0.912401382076379	0.002349	1.467e-05
UFM1	2892	22.89	-0.894590105959918	0.003177	2.089e-05
PTBP3	2061	23.87	-0.892178244087146	0.003476	2.4e-05
SPCS2	2543	26.17	-0.866436474258894	0.004484	3.243e-05
CCDC58	392	26.21	-0.872234671851455	0.00431	3.259e-05
HIBADH	1091	27.14	-0.864859183605185	0.004626	3.65e-05
MVB12A	1528	27.64	-0.865647613376637	0.004715	3.875e-05
DHX36	677	28.14	-0.860137631984359	0.004802	4.104e-05
SPTLC2	2552	28.31	-0.861971955233239	0.004715	4.185e-05
BCL2L1	287	28.92	-0.860661486398571	0.004871	4.483e-05
AGR2	79	31.97	-0.840629153339797	0.006486	6.183e-05
EPS15	835	32.16	-0.833670182079369	0.006391	6.303e-05
EMC1	816	33.28	-0.833670182079369	0.006896	7.028e-05
DRG2	724	34.91	-0.821126041830205	0.007774	8.178e-05
SMARCE1	2482	36.22	-0.811472473225598	0.008463	9.181e-05
MYL6	1541	36.47	-0.813753013854688	0.008393	9.381e-05
FAF1	875	36.81	-0.810207062179741	0.008397	9.662e-05
PPIA	1924	38.21	-0.804904422822782	0.009175	0.0001086
FAH	877	39.54	-0.800877357986399	0.009931	0.0001208
CST3	574	39.9	-0.801883070847545	0.009947	0.0001243
CIT	474	40.31	-0.795859283219775	0.01001	0.0001283
NFATC2	1622	42.17	-0.78936177161985	0.01122	0.0001475
NIPSNAP1	1632	44.21	-0.776453884047182	0.01266	0.0001706
HEXB	1088	45.17	-0.77595972578207	0.0132	0.0001823
HSPA14	1157	45.22	-0.778927217484937	0.01293	0.0001828
HNRNPK	1132	45.48	-0.774971916745951	0.01287	0.0001861
GSTT2B;GSTT2	1052	49.43	-0.762436281682324	0.01622	0.0002399
SAP30BP	2356	50.56	-0.749280916599445	0.017	0.0002571
VCL	2941	51.86	-0.639579533896791	0.01796	0.0002775
RAD21	2132	52.13	-0.741541377282099	0.01787	0.000282
CIRH1A	471	53.16	-0.744922317994549	0.01857	0.0002991
NIF3L1	1630	55.41	-0.737446572680709	0.02061	0.0003388
HOOK3	1141	55.67	-0.732404278148121	0.02049	0.0003436
MSRA	1511	55.83	-0.731924977465676	0.02027	0.0003465
STUB1	2617	56.04	-0.729530859689422	0.02011	0.0003505
GNL3L	1011	57.57	-0.730248677951625	0.0214	0.0003799
CHMP3	461	57.74	-0.725469955328377	0.0212	0.0003833
STRN4	2614	57.99	-0.728813398402747	0.0211	0.0003884
UQCRQ	2911	60.15	-0.71928118638199	0.02311	0.000433
CDC16	419	60.16	-0.713591944539701	0.02272	0.0004333
PTPN2	2073	60.71	-0.71477535453214	0.02295	0.0004451
CDC20	420	61.19	-0.715485866755755	0.02311	0.0004557
MRPL24	1478	61.34	-0.712882364211819	0.02289	0.0004591
PXDN	2089	62.03	-0.711936799674684	0.02328	0.0004745
WDFY1	2970	62.38	-0.704864750999182	0.0233	0.0004825
CTNNBL1	586	64.65	-0.695956303526459	0.02549	0.0005364
PTTG1IP	2079	69.26	-0.655625966714267	0.03074	0.0006568
UBE2G2	2859	70.42	-0.67530458641078	0.03177	0.0006894
PTGES2	2064	71.41	-0.671852885966369	0.0326	0.000718
C8orf33	334	73.28	-0.66703433741404	0.03464	0.0007742
SETD7	2413	75.32	-0.642504296774766	0.03697	0.0008385
WDR26	2975	75.64	-0.653355078411473	0.0369	0.000849
DARS2	615	75.86	-0.656535323845471	0.03669	0.0008563
DNAJC3	701	76.34	-0.646789644375999	0.03684	0.000872
MORF4L1	1456	78.67	-0.641153669394901	0.03963	0.000951
NHP2L1	1629	79.16	-0.640928687711656	0.0398	0.0009683
SDF2	2377	80.13	-0.637333744151746	0.04068	0.001003
SPTBN1	2550	80.42	-0.603621273020354	0.04057	0.001014
FUBP1	940	80.56	-0.633971600842881	0.04025	0.001019
RABEP1	2124	80.8	-0.625044004031908	0.04006	0.001027
LAMP2	1299	81.98	-0.61595019320484	0.04125	0.001071
CST1	573	83.77	-0.594007640324163	0.04333	0.00114
CTGF	581	84.45	-0.611094115960931	0.0438	0.001166
MRGBP	1469	86.2	-0.592919224549499	0.04587	0.001237
POLR2C	1912	87.04	-0.603621273020354	0.0466	0.001271
LIMD1	1325	88.24	-0.59749609912741	0.04788	0.001322
C9orf64	338	88.93	-0.598587974636191	0.04837	0.001352
LARS	1307	89.91	-0.530114023725536	0.04933	0.001395
ZFPL1	3030	91.56	-0.591396820656629	0.05134	0.001468
SLC4A1AP	2465	93.55	-0.580568977568541	0.05393	0.00156
PHYHD1	1860	93.58	-0.580784739932046	0.05337	0.001562
EPHB2	831	93.86	-0.579275080584153	0.05323	0.001575
GRWD1	1042	94.26	-0.576045405985103	0.05329	0.001594
SDHB	2380	94.26	-0.578628566999106	0.05271	0.001594
CASQ2	371	95.98	-0.5728229453179	0.05486	0.001677
POLD1	1901	96.85	-0.569179503480228	0.05567	0.00172
NUTF2	1720	99.37	-0.557454543894696	0.05921	0.001849
DHX37	678	100.5	-0.552156355637914	0.06044	0.001907
ERP29	846	101.4	-0.54877569787331	0.06136	0.001956
TBCC	2673	102.4	-0.544350572683585	0.06243	0.002011
PTDSS1	2063	102.5	-0.543719518489275	0.06191	0.002015
POLD2	1902	104.7	-0.53658679618218	0.06515	0.002142
DAZAP1	616	105	-0.537214737450369	0.06492	0.002156
HINT2	1094	105.6	-0.537214737450369	0.06535	0.002191
PTP4A2;PTP4A1	2069	106.1	-0.534913621113934	0.06565	0.002223
F3	871	108	-0.519321261245202	0.06822	0.002332
KANK2	1251	108.5	-0.516429259908444	0.06845	0.002363
MACF1	1371	109.4	-0.425075021990656	0.06928	0.002414
PHC2	1854	109.9	-0.513749011115892	0.06959	0.002448
CHID1	457	112.3	-0.510046098668694	0.07317	0.002598
XIAP	2994	114	-0.502464273603996	0.07552	0.002706
WASL	2966	115.1	-0.497160241744068	0.07684	0.002779
PFKM	1837	116	-0.49086158428229	0.07788	0.002842
TRIM26	2788	116	-0.492281460008319	0.07721	0.002843
MRPL51	1488	117.5	-0.491064338135605	0.07913	0.002939
CDA	418	118.2	-0.48924057844783	0.07974	0.002988
NDUFS2	1602	118.4	-0.489645659186386	0.07949	0.003005
PSMB9	2031	119.2	-0.483379653361834	0.08018	0.003058
DCAF7	621	119.2	-0.477341579365721	0.07958	0.003061
MGAT2	1434	119.7	-0.479753777292973	0.07971	0.003092
PPIH	1928	119.8	-0.484186642638022	0.07926	0.0031
MPP5	1464	119.9	-0.485801976652419	0.07882	0.003109
