M8R1	M8R2	M8R3	M24R1	M24R2	M24R3
hsa-let-7a-5p	-0.0186796945395997	0.295769961562	-0.112606887150999	-0.478738364201199	0.548985472759901	0.295769961562
hsa-let-7b-3p	-0.141488447719235	-0.139655564473565	0.0371620212665151	-0.383695455619525	-0.213902472276465	-0.114595939879475
hsa-let-7c-5p	0.244584189434587	-0.132278429085694	0.127863349870516	-0.249056679846953	0.362571852999286	0.269472519286866
hsa-let-7d-3p	0.137611979716077	-0.356858140360513	0.0120001902292071	-0.0451669360602942	-0.427636448094123	-0.149061937044324
hsa-let-7d-5p	0.11544016349244	-0.135636715166349	0.0834135958154096	-0.2245819864357	0.16717436919274	0.11544016349244
hsa-let-7e-5p	-0.134237557832233	0.0720582893504673	0.0334974449014673	-0.134237557832233	0.304802381802567	0.212536413897167
hsa-let-7f-1-3p	-0.243596438734935	0.0733625562243749	0.271677375661615	0.127161686273275	0.355673339223875	0.0902154512718547
hsa-let-7g-3p	0	0	0.171008687651392	0.469141936297292	0.387587490732502	0.954733517030052
hsa-let-7i-3p	0.366635747585078	-1.34246120255911	-0.387727685529061	0.246091383675148	0.404068255591318	0.265382139337139
hsa-miR-100-3p	-0.216389153299191	-0.216389153299191	-0.216389153299191	-0.216389153299191	-0.216389153299191	-0.216389153299191
hsa-miR-101-3p	-0.750717897442857	0.227245206595613	-0.682886179838217	0.723032329998863	-0.0854581783280972	-0.119499529913097
hsa-miR-10392-5p	-0.875593603394612	-0.12003180351078	0.20978323290113	-0.40645166709732	-0.15582009124369	-0.42021988886329
hsa-miR-10395-3p	-0.122208577767467	0.896167704964203	-0.223462186015407	-0.476595031285317	-0.373127137056077	-0.223462186015407
hsa-miR-10399-3p	-0.229623642760337	-0.426119236452397	-0.221344321069127	0.112662908009623	-0.436043714151277	-0.221344321069127
hsa-miR-10399-5p	0.694169651367829	1.85704470044229	0.62200888581634	0.62200888581634	0.968585540552779	0.62200888581634
hsa-miR-103a-2-5p	-0.636530054843436	-0.636530054843436	-0.465521367192044	-0.167388118546144	-0.636530054843436	-0.181156340312114
hsa-miR-103a-3p	-0.215968059086517	0.0825278188253833	0.0825278188253833	0.0825278188253833	0.237654488930584	0.337941645721683
hsa-miR-10401-3p	0.00376572073791825	-0.949769429522442	-0.619954393110532	-0.350620732779932	-1.70533122940627	-0.0974878875100216
hsa-miR-10523-5p	-0.735165422104653	0.0203963777791789	-0.0816089934755111	-0.735165422104653	-0.347577931372151	-0.279791707573331
hsa-miR-10526-3p	0.794380927356717	0.511686441044107	0.170660813508267	-0.445574086490183	-0.527128532054973	0.439994473838867
hsa-miR-106a-5p	0.301155457814189	0.0298229751164785	-0.554730137115961	0.228994692262699	0.732439566088228	-0.725738824767353
hsa-miR-106b-5p	-0.246190915992112	0.591470429805218	-0.316701637390902	0.940281921318988	0.150120793468148	0.0121660235946779
hsa-miR-10b-5p	-0.303770024341045	0.475706049666045	0.136693085771785	0.411996477177865	0.319137571350545	0.190931396497765
hsa-miR-11399	-0.0990831890727712	0.0944992820536588	-0.490053830178781	0.693647978796169	-0.273475027097671	-0.661062517830173
hsa-miR-11401	-0.597660501283113	-0.597660501283113	-0.426651813631721	-0.597660501283113	-0.210073010550611	-0.142286786751791
hsa-miR-1183	0	0	0.653556428629142	0	0	0
hsa-miR-12114	-0.264935870069401	-0.264935870069401	-0.264935870069401	-0.264935870069401	-0.264935870069401	-0.264935870069401
hsa-miR-12136	-0.62749180192555	-0.62749180192555	-0.62749180192555	-0.158349865628258	-0.239904311193048	0.327241715104502
hsa-miR-122-5p	0.671365553681062	0.673198436926731	0.441854051083202	-0.638676957731318	-0.252728051440168	0.341445523236712
hsa-miR-1226-3p	0.164360964189753	-0.106971518507957	-0.691524630740397	-0.862533318391789	-0.474945827659287	-0.407159603860467
hsa-miR-1226-5p	-0.249419605648828	-0.249419605648828	-0.249419605648828	1.10529089097751	0.138167885083674	0.205954108882494
hsa-miR-1246	-0.190273164894852	0.626940777760648	1.16112029264784	-0.173333921760262	0.681623356080078	-0.291526773142792
hsa-miR-1249-3p	1.51021970256352	0.460512379483945	0.337271776363915	-0.0443005527243447	0.059167341504895	0.208832292545565
hsa-miR-1250-5p	-0.117032929382432	-0.117032929382432	-0.117032929382432	-0.117032929382432	-0.117032929382432	0.33834078514889
hsa-miR-1255a	-0.432892223313336	0.864651876763894	0.875791804905474	0.731164641208044	0.751657906079694	0.359838944555604
hsa-miR-1257	0.568185475458135	0.778228008122035	-0.0118000589630549	-0.793349367647605	-0.00155342652722501	-0.140239542781405
hsa-miR-125a-3p	0.354927692694344	0.371486336076774	0.158432099002283	0.00727662307915367	0.470089405312534	-0.0426194715694166
hsa-miR-125b-1-3p	-0.162896777116707	-0.256326128236207	0.409464584208473	-0.692504986162078	0.331573342959883	0.289322008971553
hsa-miR-125b-2-3p	0.553601500919081	-0.473292781662461	0.180263646966681	-0.473292781662461	0.481440735367591	-0.0179190671311389
hsa-miR-125b-5p	0.0438722318161666	-0.0512969157482335	-0.0512969157482335	-0.0512969157482335	-0.158953910043333	-0.158953910043333
hsa-miR-1260a	0.561979328757402	0	0	0	0.387587490732502	0
hsa-miR-1260b	-0.121831411552075	-0.578576342853235	0.119766232530345	0.196744548326535	-0.278555329083505	0.042006765654985
hsa-miR-1262	-0.475732212424768	0.388690922649412	0.832951815794042	-0.568569604884878	-0.0829780241521179	1.12183290142219
hsa-miR-126-3p	-0.234005594140632	-0.105325273917362	0.523710398167468	-0.340390011327042	0.714461136361268	0.757869537444988
hsa-miR-126-5p	-0.340831489157954	-0.340831489157954	-0.169822801506562	-0.340831489157954	-0.340831489157954	-0.340831489157954
hsa-miR-1266-5p	-0.924551392821167	-0.730968921694737	-0.531797204548516	-0.531797204548516	0.519166511656084	-0.131820224952226
hsa-miR-1267	0	0	0.171008687651392	0.469141936297292	0	0.954733517030052
hsa-miR-1268b	-0.10892607143819	-0.10892607143819	0.0620826162132017	-0.10892607143819	0.278661419294312	1.24578442518815
hsa-miR-1269a	0.216537516939038	1.84432751983764	0.609291705211688	1.2431107744159	0.609291705211688	1.00926868480798
hsa-miR-1273c	-0.724326973198203	-0.724326973198203	-0.553318285546811	0.230406543831849	-0.336739482465701	-0.724326973198203
hsa-miR-127-3p	0.594940700920243	0.745367179610683	-0.0287794129282066	0.980001381827753	0.344022141631633	-0.159422732193897
hsa-miR-1276	1.03189437516699	1.08096065201322	1.00926868480798	1.00926868480798	1.11273657903722	0.609291705211688
hsa-miR-1278	0.312559723108574	-0.249419605648828	-0.0784109179974357	-0.249419605648828	-0.249419605648828	-0.249419605648828
hsa-miR-128-1-5p	0.358738548585015	-0.579277671262425	-0.017319693246705	-0.671906584123885	-0.627526369184785	-1.14720646153393
hsa-miR-1283	-0.959925183028894	-0.959925183028894	0.776357642685708	-0.00519166599884224	-0.240151670877972	0.394785313597448
hsa-miR-128-3p	0.105239749150842	-0.354828540061847	0.368242264765863	-0.395499152243877	0.368242264765863	0.284966097918412
hsa-miR-1284	0.209928527448074	-0.352050801309328	-0.352050801309328	-0.352050801309328	0.0355366894231743	-0.352050801309328
hsa-miR-1285-3p	1.16540466841605	-0.23857797430448	0.74214305152629	0.36057072243803	-0.0394062571582596	0.36057072243803
hsa-miR-1285-5p	0.308627022542947	0.790814264392227	-0.113975647412353	-0.113975647412353	0.677820293708027	0.539134177453847
hsa-miR-1287-3p	0	0	0.171008687651392	0.954733517030052	0.387587490732502	0
hsa-miR-1287-5p	-0.0199547296509852	-0.339130716289725	0.101178498795704	-0.199455374057986	-0.0919416249682259	0.248301248054265
hsa-miR-1289	0.370169490844773	0.563751961971203	-0.191809837912629	0.277332098384663	0.762923679117423	0.263563876618693
hsa-miR-1291	0.870035479788425	-1.40847371836094	-0.705857127389185	-0.809325021618425	-0.0044910756404053	-1.70866180371345
hsa-miR-129-2-3p	-0.589132384248425	0.166429415635407	-0.418123696597033	0.765578112377917	-0.589132384248425	-0.589132384248425
hsa-miR-1292-3p	-0.371623108647394	-0.371623108647394	-0.371623108647394	0.0975188276498977	0.0159643820851076	0.983087387978948
hsa-miR-1292-5p	-0.374869851640202	-0.917465129842502	0.0945801304957978	-0.237707486977702	-0.627127924155652	-0.947690018894142
hsa-miR-1293	0.692823280729497	-1.01627366941469	0.0691031668810473	-0.547131733117403	-0.0615401523846426	-0.0615401523846426
hsa-miR-1294	0.787494650380302	0.208199880977232	-0.263469065824298	0.370350003379912	-0.263469065824298	-0.263469065824298
hsa-miR-1295a	-0.0758956190885537	-0.0758956190885537	0.0951130685628383	-0.0758956190885537	0.311691871643948	-0.0758956190885537
hsa-miR-129-5p	-0.331210594148641	-0.149748669758881	0.40978032433951	-0.0142349900450807	-0.402749518314061	-0.0142349900450807
hsa-miR-1299	1.2002143244419	-1.11605403569389	0.238656460932452	0.238656460932452	0.342124355161692	0.743469393140742
hsa-miR-1301-3p	0.433615912345473	-1.04210420872183	0.199219109926013	-0.00566718436006663	-0.189894446722497	0.969067084433684
hsa-miR-1303	0.37574011777738	-0.277437742040189	0.13810612551812	-0.119860759197939	-0.119860759197939	0.293993092338041
hsa-miR-1304-3p	0.407073399270041	-0.149258259452748	0.278964834985482	0.0225950310196721	-0.264169427448418	-0.390909467698978
hsa-miR-1304-5p	-0.128707327040821	0.064875144085609	0.394690180497519	0.264046861231829	-0.303099165065721	0.264046861231829
hsa-miR-1307-3p	0.189979136028066	-0.156794835701334	0.0495010114813663	-0.225921668631734	-0.0455697519778333	0.107596867794266
hsa-miR-1307-5p	0.218035385392316	0.411617856518746	-0.343943943365086	-0.343943943365086	0.610789573664966	-0.343943943365086
hsa-miR-130a-5p	-0.148226930426078	0.810778388929732	-0.887099656013938	0.193688571735352	-0.564323180148588	0.115162859657362
hsa-miR-130b-5p	0.241025772191731	-0.105643829419538	0.241025772191731	-0.658012864551788	0.370488928119322	0.547905665338911
hsa-miR-132-3p	-0.0998087169382567	0.971588377599914	0.346040347790174	-0.407293381847266	0.0405810956553934	-0.162820576750146
hsa-miR-132-5p	-0.321670801395713	0.246257988875787	0.609477432303887	-0.164946883864283	0.356476583748706	0.0997782271190468
hsa-miR-1343-3p	0.416294550837727	-0.833840882513093	0.146880143317677	-1.58940268239693	0.570141760207437	0.404089201873516
hsa-miR-135b-3p	0.497381413635318	-0.0645979151220837	-0.0645979151220837	1.29011258150426	0.655175597028838	-0.0645979151220837
hsa-miR-135b-5p	-0.0457817741187279	-0.60776110287613	0.346972414153922	-0.138619166578838	1.00008223902012	-0.152387388344808
hsa-miR-138-1-3p	0.890974183645634	0.170596400012603	0.617468189155313	0.201566353287153	0.381066997694154	0.457999480181323
hsa-miR-139-3p	0.293339017599765	-0.020168448560355	-0.431636589910815	-0.164684137948695	-0.157267516136095	0.193309114746485
hsa-miR-1-3p	-0.117032929382432	-0.117032929382432	-0.117032929382432	0.35210900691486	-0.117032929382432	-0.117032929382432
hsa-miR-140-3p	-0.0430001026412494	0.0150957536716501	-0.19637240889865	0.45127669175945	-0.44736567000975	-0.19637240889865
hsa-miR-140-5p	-0.396694778605084	0.0839776029067267	0.282677985030157	0.377807413031996	0.475201742369847	0.803439023164926
hsa-miR-142-3p	-0.0758956190885537	-0.0758956190885537	-0.0758956190885537	-0.0758956190885537	-0.0758956190885537	-0.0758956190885537
hsa-miR-143-3p	0.0367867952703449	0.557400454835385	-0.361067096068055	0.817150982536555	-0.222380979813875	-1.01417692093426
hsa-miR-145-3p	-0.0645979151220837	-0.0645979151220837	-0.0645979151220837	-0.0645979151220837	-0.0645979151220837	0.390775799409238
hsa-miR-145-5p	-0.235017871926896	-0.235017871926896	-0.0640091842755037	0.719715645103156	0.152569618805606	-0.235017871926896
hsa-miR-1468-5p	0.805846980111992	0.989919078533342	0.670813103853552	0.154860243503682	0.101459918643832	-0.245116736092608
hsa-miR-146a-5p	-0.155816829460454	0.037649327828337	-0.155816829460454	0.157791903065258	0.267438365623846	0.142193251081467
hsa-miR-146b-3p	0.457339787700443	-0.496195362559917	1.06451119769204	0.102953334182593	0.0495530093227434	-0.297023645413697
hsa-miR-146b-5p	-0.0500260422637737	-0.142959121997364	0.0295235844783965	0.0295235844783965	0.481602641129527	0.481602641129527
hsa-miR-147b-3p	0.390850000605662	-0.562685149654698	-0.664690520909388	0.0364635470878119	0.289596392357722	0.289596392357722
hsa-miR-147b-5p	-0.376631528439373	0.378930271444459	-0.205622840787981	-0.376631528439373	0.924678643327119	-0.376631528439373
hsa-miR-148a-3p	-0.922056395110701	-0.0239169427397599	0.890638662808239	-0.55474063824246	0.48119209276874	1.00532091596344
hsa-miR-148a-5p	-0.83563893299025	0.0274704663255996	0.17662980687508	-0.40601040828476	-0.13691089254471	0.39859377802206
hsa-miR-148b-3p	-0.210656868982182	0.0251038472027183	-0.283611806927283	0.125391003993817	-0.130022822902482	-0.210656868982182
hsa-miR-148b-5p	-0.55094204947201	-0.0303283899069702	0.00122672151155001	-0.0730401409253902	-0.24037092257087	-0.0765327453638101
hsa-miR-149-3p	-0.267705457001182	-0.267705457001182	-0.267705457001182	-0.267705457001182	0.45206805514974	-0.267705457001182
hsa-miR-149-5p	0.180157903479453	-0.227205335447427	0.145347453583363	-0.0352606186280369	-0.399539213280917	-0.292527583440036
hsa-miR-151a-5p	-0.278843679444709	0.315528131853541	-0.407523999667979	0.128587487365581	-0.350211585462879	-0.159579256699579
hsa-miR-151b	-0.425169598070928	1.28818689124768	-0.717128948760538	-0.0764695917774985	-0.501195613289788	0.357038657548082
