M8R1	M8R2	M8R3	M24R1	M24R2	M24R3
A1BG-AS1	0.158884820611534	-0.190776920622836	-0.0890866947077864	-0.0388121414791165	-0.103591546422027	-0.0618276848181969
A4GALT	0.530333699875404	0.192900370690253	-0.207466431442485	0.155994256464155	0.263294512554873	0.489497496713664
AACS	-0.0240361492493175	-0.0738023278857174	-0.222533768173717	-0.0257108737779177	-0.0490410087902173	0.394242816176483
AARD	-0.216085444488701	0.360636981654818	-0.0586450646037511	0.00375601036181816	0.508736460728408	-0.394183228827761
ABALON	0.112938572539268	-0.363420672576781	-0.651687842037131	0.629426414049429	0.923943931064558	-0.131339230620641
ABCA2	0.356611361421727	-0.0622121275731722	-0.325550061551452	0.395206243115329	0.463146795332628	0.788743069271629
ABCA7	0.357369176832842	-0.0148877444474991	-0.0354547780446879	0.489525123216682	0.324581715237951	0.809503279766322
ABCB9	-0.032613952989438	-0.0245595973733366	-0.0407574195514471	0.104510181649523	0.362310269960032	0.550361037581244
ABCC2	-0.0702676971382123	0.104871828054968	-0.155674173943132	-0.311321125735332	-0.280823317971782	0.513092276469048
ABCF3	0.0160395883166178	0.0573010688131177	-0.202325441248682	-0.0864057200691821	-0.0309034687825829	0.253429350424117
ABHD11	0.177730630556294	0.0800776276448438	-0.173272759582495	-0.170213642163086	-0.108752125706067	0.151626644242064
ABHD14B	0.132139604158267	-0.117428292266133	-0.413523970456033	-0.030230803069033	-0.0579132756721332	0.0172067887365657
ABHD17A	0.585395354171027	0.318304677684177	0.0391866857244469	0.374774643310937	0.274558621608437	1.01981730270908
ABHD4	-0.0586491832063007	-0.1599203954339	-0.3141352428255	-0.0524658107733007	-0.0263086915987998	0.304576979397901
ABHD8	0.297310841187805	0.270216340970745	-0.125534373804024	0.289605176277576	0.365391651629304	0.553484492113816
ABI3BP	-0.0664614639608736	-0.110959485839774	0.0695975614043558	0.0162375340443361	-0.138848763174174	-0.417367014957264
ACACA	-0.323164061675646	-0.348598457744068	-0.200828895759367	0.0562872694465337	0.0472414636626333	-0.0645852192899667
ACADL	0.201707672504686	0.617777650784455	0.353942094004576	-0.0454609873416851	0.113087549003265	-0.528647811110655
ACAP1	0.0148355828426956	-0.368912802435244	-0.509133991141625	0.432782616087265	0.128032388611455	0.761615002833365
ACAP3	0.526739647391338	0.148732957634939	-0.103027629369461	0.403411643066239	0.282217852116039	0.787006066308638
ACKR3	0.381507407437849	-0.347216621239231	-0.668986132234641	0.893086430828909	0.293375960442058	0.616846036593168
ACOT4	0.0673791226443123	-0.136310078538708	-0.0822037839690477	0.216905010661012	-0.110509368714798	-0.605897104177558
ACOX2	-0.054039733951778	-0.156546932922287	-0.372734445384038	-0.0899895379477975	-0.0426215679611976	0.438850022263242
ACP7	0.0852912536553818	0.0707515796987117	0.011157055180262	0.00429371136356149	0.159620260749362	0.333873990413822
ACRV1	-0.749220825978393	0.229321650751177	0.613448204435917	-0.340383157324252	-0.316378164258933	-0.298632308814333
ACTA2	-0.183237267038694	-0.0632662729739346	-0.242399510905324	-0.167584692305985	-0.248716533416535	-0.0352747545153642
ACTA2-AS1	0.113999589234315	0.154226772699265	0.634320938086165	-0.138074694613985	-0.128175097519005	0.0589722811887246
ACTBP2	0.358087643744705	0.705086183699145	-0.915673935167975	-0.264593629098925	-0.285413209591585	0.214804430273005
ADA	0.27369417629437	-0.3740691542721	-0.3337335341787	-0.07479593074516	-0.42349117872888	-0.0814412593950999
ADAM11	0.00150446185473818	0.359095045290609	0.481598627241638	-0.321519534578792	-0.0281804275006321	0.811650320222008
ADAM19	0.117790683394	0.00348014283970066	-0.3940027258559	-0.0780086878257009	0.0348115375534999	-0.131520579137
ADAM8	0.376270453667583	-0.0131039478932173	-0.397457429602717	0.633103103079083	0.597368571111483	0.898966352203184
ADAMTS9	0.120971954303014	-0.403153111497296	-0.441125957138135	0.0254449368055347	-0.173938337525906	0.216866544526964
ADAP2	-0.300647251376179	-0.14347902019037	0.155794203336571	0.155794203336571	0.15076814331075	0.689620908767781
ADCK1	0.0501931406795402	-0.70299227165376	-0.52571587523702	-0.302847546992339	-0.0662999350628599	0.24992389437633
ADGRF4	-0.28082328460049	0.365832531764051	-0.0259412163215194	0.00342425106454058	-0.18472631432719	0.0476533456747807
ADGRG2	-0.509723227973572	-0.0358212283692216	-0.146947519471321	-0.214061375358411	0.001943436086429	-0.125659847701791
ADORA1	0.3570659805562	-0.95776480409231	-0.76190591490026	0.33252464206531	0.0487520961322696	0.25738498282818
ADPRH	0.327004507080463	0.510474164019603	0.127832952657733	-0.0161282740934867	-0.098110462193147	-0.113010387555307
ADRM1	0.444500029078867	0.417604067514967	0.106390824247267	0.168850637872268	0.378661002006968	0.718579269927567
AFF1	-0.0831621672649501	-0.15442683630525	-0.0737338341894507	-0.0438671501730514	-0.10265379399835	-0.0295525551422511
AGMAT	0.0478093791523753	0.0564493554982448	0.0725042919141847	-0.586714000269145	-0.566456398464455	-0.615357370681165
AGPAT2	0.534251560545549	0.325047116289449	-0.0702575157096508	0.30426677300515	0.370757064276049	0.54440021646035
AGPAT4	-0.163027411861952	-0.173168888420392	-0.161713370611352	-0.0783750164807824	-0.134818853978633	0.127318570590637
AGR2	-1.31768420141229	0.371206685589399	0.504780811324229	-1.3546275119507	-0.959098856316681	0.70704317569029
AGRN	0.776204838763734	0.244330776762533	-0.179438730358566	0.679818451970934	0.711296358469633	0.981274993352933
AHCTF1P1	-0.0756264397807085	0.340641508215402	1.05092185163108	-0.200508682616168	-0.166115988441049	0.076592171779402
AHDC1	0.385340907208922	0.207452197426722	0.00137043525856129	0.303522501793722	0.346521597997722	0.519118695122222
AIF1L	0.0544186767004486	-0.236005730107961	0.00303493796541865	-0.170991862096612	-0.451770376335482	-0.112760107253751
AJM1	0.261344684951335	0.310473599193585	-0.224478867359865	0.696348150459515	0.637168381069565	0.306682021031405
AKAP9	-0.0427173249980832	-2.10855403134744	-0.303325300983984	-0.0281141508914828	-0.0828494081435824	0.285902656264817
AKR1C2	0.221215996734408	-0.187320225103222	-0.666791777208642	0.170607399812218	-0.103711808711102	-0.176473874907682
ALDH16A1	0.292543172760478	0.261951991312579	-0.00793678457074165	0.322648336564678	0.407662940826278	0.440892336941678
ALDH2	-0.00143869402206676	-0.186517969411666	-0.320802336758566	0.000932573845833673	0.0234483112942332	-0.215351232827166
ALDH3A1	-0.459538676381767	-0.00107387444062734	0.171106040194903	-0.949344028522607	-0.155455155659467	2.36316945305312
ALDOC	-0.430552166019059	-0.310822583580959	0.259613837339011	0.321248612925432	0.144925819602592	0.365837519340192
ALG3	0.167956571939765	0.153469525303766	-0.287637977245634	-0.140066133211434	-0.0718288768490343	0.426392119366167
ALKBH7	0.360252835628289	0.149392187353209	-0.204549744994112	0.673333158421109	0.941192019188769	-0.0316558250676611
ALOX12	0.0228528100716145	0.617972046355025	-0.0078697190486654	0.599401813049895	0.506813302412465	0.787583776995555
ALPP	0.906790932602305	0.103449471056045	-0.580321030044185	0.520211452693135	0.275717989599665	0.418780245561615
AMACR	0.0873819525255266	0.362431002583266	-0.0134749656709134	0.0777748497576765	0.131770698152776	-0.216281306421534
AMDHD2	0.665012127065163	0.351972532287414	0.108940497351364	0.352637248622083	0.348540536431644	0.946569823296844
AMH	0.87057694976331	0.52927694944216	0.191637136675531	0.81840676184633	0.74843736013851	0.43202707681283
ANK1	0.256033904674448	0.032543099538449	-0.413023220245481	0.179626566160108	0.00633172802734805	0.214838339615129
ANK3	-0.708023223477332	-0.0617826866879518	-0.189587057836332	-0.382691304519971	0.230038868368859	-0.140845454545412
ANKHD1	-0.179901713461193	-0.155516091688304	-0.000274683272754039	-0.270769634758154	-0.286931047885424	-0.409920557788253
ANKLE1	0.316788250192852	0.185149225860012	0.657134840893092	0.166796576182912	-0.00519905943253818	0.467215981520472
ANKRD11	0.104064314253849	0.126921863472949	0.242002638422049	0.0183894031141492	0.10062577832505	0.48547524206715
ANKRD12	-0.157994286460317	-2.04072393447303	-0.320410385879518	-0.0205320387293177	-0.0274354007985167	0.177097073279583
ANKRD20A5P	0.295085409628427	-0.0511704656963943	0.333364741024796	0.116193526008096	-0.275141327390494	0.261011616976326
ANKRD26	-0.130711789780012	-1.28336741385802	0.194316822671658	0.0263235364374275	-0.149057009462792	-0.0634782886444629
ANKRD34A	0.135167541660882	0.0724031898823112	-0.493148054666828	-0.195602290058688	0.218775958053001	0.242955864332681
ANKRD65	-0.0848908175549248	0.403872441802475	-0.509799957683195	0.417082780254905	0.639404273582045	0.227094274291765
ANO8	0.277445833472019	-0.141244945611481	-0.196730253392511	0.490956111387629	0.434479662072299	0.70459816788771
ANTKMT	1.02791290908881	0.572080738193182	-0.00472896554201796	0.761994447001632	0.771359944087732	0.655820023853273
