R2_06M	R3_06M	R4_06M	R5_06M	R6_06M	R2_12M	R3_12M	R4_12M	R5_12M	R6_12M	R2_24M	R3_24M	R4_24M	R5_24M	R6_24M	R2_48M	R3_48M	R4_48M	R5_48M	R6_48M	R2_72M	R3_72M	R4_72M	R5_72M	R6_72M
PP_054889	-231227.303829821	2321597.27696712	-914432.117710529	510635.634768605	-1277428.4892801	164228.373804788	-524907.729639902	-624378.024255538	-912399.523350313	12139.9476469229	-441201.450937382	-821878.312823006	-727016.638981075	-1375669.99336114	-68746.0469617776	-354299.734131494	1966301.22839012	-932381.476750261	-1471448.49806746	-418525.263969682	-764399.545930171	2440461.79555769	-331258.420321261	-922194.281989499	-102928.610529491
LP_009409	-323624.294808895	-309420.704596074	-246239.944846901	-380133.28996794	-133749.501663796	-300764.482464226	-237416.518414117	-287947.442220756	-132243.52819563	-103160.866392501	-261396.280384293	-169526.263899461	-269577.260018087	-171817.461392078	-103526.165441802	120048.779099763	-108483.650599588	-34109.021017517	310630.506506423	117574.715316224	529063.921416643	80310.1975378974	-208996.991904644	33221.204169936	-46695.434270301
PP_038879	167189.497866469	293409.750427709	-118153.182442563	106787.562155791	-197713.877110356	98365.0955035501	376150.690418926	-38614.595260233	-10519.0124508865	-189461.366900248	256655.310118141	10872.6008961884	52599.574943515	142800.7704744	-141796.347057792	195875.306540777	17474.6541404859	-192544.433252773	-355849.66054775	-368976.330850126	464729.249771125	220096.814100864	-101454.491254588	-356127.269535877	-391185.663320593
PP_039001	202317.743449241	-173828.265698195	-510287.98984213	-80339.6018467887	-556912.838619766	111166.12917272	-70709.1345380277	-289060.958454365	7344.03586275969	-527540.836406222	18362.1735151456	19509.8395323361	-210415.328691269	147070.695242344	-137807.783661715	136724.201008535	-46960.5611583565	-137775.488500034	12415.7439495178	93793.7277796266	37331.15168112	126480.570111844	94507.15811281	192435.188989958	516782.381070474
LP_001937	-99622.7247246473	14667.3784210415	-208645.701694475	221980.930232303	-276787.446890765	438308.637799681	601578.650832655	-166650.214463263	-300082.355495267	-281204.865617104	558688.578905475	429326.219704523	-37934.435301358	460358.488851859	-301502.610970297	-91959.4674924472	-273384.148810222	984722.081275364	-209378.873137813	-79428.061489983	-254639.683319434	-232809.397508132	688976.927560455	-151382.011863492	544882.581083731
PN_027202	20355.1571196277	-54055.3114827555	22646.7579207492	-71039.7912204348	-46751.297573152	25561.1760580764	101834.782290761	127633.908236178	4821.89892380043	-80441.2703453855	-5002.47108957022	12365.5133986732	254057.744812669	104450.974297816	-72375.9405571768	181866.067129844	-66608.8690329152	177214.234598611	-57213.6019106854	-43839.5201308102	-43298.2777802501	-54770.8648398927	15896.2263285894	-40090.5483273583	-60897.665620451
PN_027554	80093.5019389649	-49113.9404534956	-53319.5510344547	1866.26529582166	-56417.2881252389	-13164.1479930707	32018.4151553954	-28241.5409291954	29199.3310823394	-57695.4616418525	18544.3742475485	-11488.646819763	-18090.2113355455	11642.5575714956	-14249.9371112613	-36226.9639393385	26584.5848836708	62364.5721791043	-27909.8226919971	7384.16863765207	-53286.6486482735	25424.0820633867	29241.8941385794	7742.11977760161	56367.0639069815
LP_23980	93161.8271282662	65174.9911751596	45914.7961557871	-97424.804689615	4780.76380559284	-81471.4397831812	76479.4352334191	-80443.0310844057	-62385.5475002868	-84560.110037412	51104.1328583503	7123.84343286324	-75804.0555799828	-81347.7447502239	-70730.6803538427	69461.0085310968	-13529.1617678832	-20883.9826028898	-24497.2565720521	-60637.9075911763	25615.2011293169	-17696.3229265643	66609.8910976742	-23973.5349247876	-68504.7083649157
LP_001860	-43947.7778874376	43279.7281856656	-7004.66903141985	142145.589071095	-188218.696605362	218917.263289236	307094.311847765	-112703.047746618	-241291.985631582	-231991.366274639	263842.326287077	206417.420145856	-21009.2683562271	268267.499410241	-270515.53777194	-69558.2084122085	-225157.75856516	474530.114592211	-97832.6667587147	-34715.5506052027	-79744.2190389831	-185435.718126871	386193.832223656	-51170.5062106039	401406.544010009
LP_001148	44863.8442534214	24283.9191010859	3397.12512307169	-46412.2040168522	-16284.6347229478	-17811.6922490358	-14924.1300906602	-59263.8575053126	-25654.7538772622	-58590.2194611012	1536.81305250138	-22795.6649755687	-44110.0286694564	-16381.7213617674	-63236.123522991	49623.6655766045	-45141.3676882348	7400.41339799308	25051.8183409153	-37227.649774434	15418.3529889853	-20802.4006456328	18405.2210744272	-31688.4233272531	-56116.6587848193
