R2_06D	R3_06D	R4_06D	R5_06D	R6_06D	R2_06M	R3_06M	R4_06M	R5_06M	R6_06M	R2_12D	R3_12D	R4_12D	R5_12D	R6_12D	R2_12M	R3_12M	R4_12M	R5_12M	R6_12M	R2_24D	R3_24D	R4_24D	R5_24D	R6_24D	R2_24M	R3_24M	R4_24M	R5_24M	R6_24M	R2_48D	R3_48D	R4_48D	R5_48D	R6_48D	R2_48M	R3_48M	R4_48M	R5_48M	R6_48M	R2_72D	R3_72D	R4_72D	R5_72D	R6_72D	R2_72M	R3_72M	R4_72M	R5_72M	R6_72M
GC_001	14760.9647478953	9553.71332324775	8488.74251336209	18482.0840917423	9287.57854628621	15778.2094165298	12446.861204768	9886.19671569683	13001.602534737	11453.5754982957	22262.7409738828	11919.4886932136	8012.73349795849	15322.3380332351	14070.0424795432	23496.3352471448	10129.195073197	9378.97345620099	16084.488838273	13907.5971925727	15587.7973318065	13689.7021153526	11871.6078792129	15517.3162098815	13642.1775798299	12690.8091256804	12506.7430054146	10693.8484606822	17271.5480375427	15118.3948414771	30231.2393511631	21852.5672947649	13523.0725900765	34661.3917239762	25389.0015738471	31691.3450496696	18407.8082675247	10668.9793912389	30105.9663800889	22826.4996759354	48898.6682044952	31059.1556725438	23093.4464747486	47984.9165905858	55156.3844681645	45407.9217733405	26290.5389630149	19539.0018776334	43132.100967772	31515.3824896754
GC_002	1545.35499212586	1003.94449941737	888.670551527139	1235.5291064644	848.437941767695	1580.40738211919	1185.96168989716	791.20212755771	950.831074785762	1065.51735441112	1442.12758627197	1294.69545715269	738.316017239536	1083.11204870959	898.570149524172	1398.77154872058	999.535228403304	690.727917669461	1030.94955698843	1115.73773932276	1591.66902698876	1630.97665843046	912.176689555209	978.021555211698	1034.7853313575	1007.48955844316	1162.57589382777	601.196400089702	1238.5157694478	1074.10510831803	2285.16180487292	1818.65109913441	862.501662852776	1330.07468699595	1794.68279158628	2783.23659882963	1462.96045272491	588.10888608327	1677.99924813033	1593.55231080223	2469.09041330064	1816.39556106257	1235.46594084614	1651.87825796725	3113.45234958211	2560.42286258516	1930.89659840016	1066.07801081643	2077.42873211064	1242.35875574597
GC_005	7462.40505878108	5580.40817373428	5485.44403939615	10812.1255254936	5810.55324789412	8833.00171632726	6410.86868398394	6303.93587757304	8386.96482431954	7795.62184306008	9323.1166246919	6628.91282078172	4714.73290659522	7881.60422814045	10037.2002702659	10707.0108641026	6257.06819432864	6380.38551398845	10057.1873899587	9225.86899947985	8169.90672133706	7030.92707618108	7466.33175661957	8495.64001754069	7483.17391806083	8054.23645255508	7454.67110458563	6778.10799949911	10380.3609726416	9553.31229467986	11815.1689647756	11579.0327335569	7222.4940058807	16692.9038908979	11038.5856883847	15290.3189456232	11710.494327465	6465.53857277059	14808.0131216513	11591.7300625344	21198.7544037141	14115.0290391987	11592.168250002	19060.3192817473	20718.7242951566	24278.0870265746	14619.9020676751	11469.0510454159	18572.0246870618	15503.7226359158
GC_006	2401.50222044695	1526.8511368055	2024.70964426217	3227.18997090012	1691.16583678829	2527.15303550103	1898.47169835023	2318.49893022459	2134.92961697708	2162.24917398281	3102.82203440435	2407.17912269339	1710.54676445481	3037.46513017711	1920.15446477423	3582.60461519855	1957.17726697511	1907.21096533236	3559.70610769617	2163.5608710523	2992.68666443526	2638.98575706042	2236.18065745476	3355.0083025224	2154.83991345317	2352.21450470556	2069.93694263536	1875.45531385364	3504.97025802675	2563.11695183648	3763.96132879178	2649.76892914016	2419.57879958942	3434.35456852974	3168.83591454065	4790.44417642163	2363.71672373713	1823.13878098095	3693.68071715353	3087.75896384519	6253.95458085023	3857.3364767094	3591.52456342058	4026.82941041843	6127.04240658714	7054.95523332717	3439.92453922478	2776.53691807574	4323.62246056404	3382.8444307502
GC_007	11570.5205303876	5535.25781372064	2736.45385756792	5010.78004225971	1258.9201370555	8881.59863434856	7283.73497292321	2849.87566143188	3969.70821185835	2170.62528264708	12672.9062207041	8281.42662819299	2130.60777193801	4295.69580474652	3209.60241357757	8207.39439094706	4620.77915609672	2422.14702256358	4468.22411466976	2798.15613651762	10735.2881736156	17012.9493932947	3238.41827016352	3913.09932914709	1807.4268169173	6009.75970323599	10057.25930165	2049.94776858237	4345.6520202639	2681.81744552814	15081.5022599979	15083.9495818193	2905.94126104572	4052.99457697108	3500.19157859974	15817.7569363173	13724.7409571113	1465.56403667036	5658.81113002184	2898.75649799284	17921.760364601	14553.3333744482	4450.81136358351	4420.84752895587	6719.66072931778	18866.0083320586	16056.2987669744	3518.49702087898	5426.44020660568	3651.10422395184
GC_008	9285.98255090048	6695.51023097225	5928.46878423816	12731.3024684603	6282.46078716158	10995.4715017377	7502.21405745231	7196.07024692121	10165.7968361328	9028.12977069482	12056.3648663958	8237.77244682689	5173.1905178926	9433.02012522603	12017.1740650836	13964.4128536393	7334.44312362185	7254.88706905046	12319.8793386856	10684.497278981	10262.4972548328	8379.19399469619	8399.83926325702	10425.2507317449	8492.41787434498	9595.15134889955	9600.63641629433	7665.97393992991	12738.5044988823	11198.7640287842	14823.4173825415	14862.20605176	8263.80244968127	19778.4032134574	13454.6091061254	19818.2611040644	15034.9276267305	7014.39001212051	18059.3393099383	13694.1943099374	27838.1543271267	17803.1492296133	13553.4995474313	22889.7706094588	24602.9532595015	32614.5926033535	18853.605626407	13354.8030943165	22553.3783657049	18248.5881459918
GC_009	7745.96580434622	5855.97149012922	5450.75461236929	11417.5250246593	5794.48164386123	9225.84770991727	6493.82256897809	6436.61286543418	8858.97734391982	8090.75529269177	9643.27980994655	7035.62004711964	4647.00635851962	8105.48459580643	10501.3706536301	11211.3305733514	6269.52844212968	6384.89145297851	10303.3964246276	9307.23152613574	8583.43256159856	6971.56028333316	7509.74383530827	8979.81992844906	7500.71156537577	8146.74752639668	7748.06289222453	6719.76720036796	10755.6588534437	9617.22213408726	11959.2968118433	11916.9216943458	7414.32170578217	16830.5983490318	11354.2371107092	16011.3125057964	12210.212241794	6270.1831018289	15180.8508406628	11866.367549826	21760.8841612571	14350.8948080918	11767.4466324711	19029.427835165	20611.3250558809	25026.4136451866	15192.8630357919	11661.5483201016	19044.1942888752	16240.4210743643
GC_010	25443.6813590442	15623.6898464845	18579.8119541116	29776.6886784829	10321.6293000047	27082.3947620242	26279.5291145483	25603.4841825931	18219.8907132704	30223.8216302282	21334.1965069599	21623.7561051393	14898.7851309912	24938.3653397299	18483.985988103	23070.4077475066	9731.20410089521	9455.47201132761	27176.0633750418	25180.4801754461	34502.8513673502	34814.5277299735	24944.8593676396	22442.7929038995	6390.28253108802	11937.6924656305	12144.9012718974	8110.3367525289	20065.752738687	26528.8426764039	54400.437953355	31412.2822354526	20818.5166702052	20185.7626302995	38766.1317316426	60296.2669930264	31060.4554310139	4572.61014662237	45056.4084503876	23131.9296393858	47718.7591922007	39562.016353322	38303.9223959672	53627.9697469802	63916.5947248582	51012.7568393945	40344.696748918	13833.8203758517	51289.7167866512	24373.482911911
GC_011	27793.9856292954	28800.2236497129	35032.2637814576	31965.0018686282	23661.0545985216	30771.6898822234	32747.470553398	30622.2036974787	23129.3353126727	23839.1345047381	21756.0927766028	24226.7699158681	24468.2182957904	23390.3824250908	17879.127981932	22576.9154655393	22188.9462470026	23216.6036629751	22663.7689950924	18241.7725513686	23234.5977578854	29247.5977789386	29113.8515885732	20847.1072644951	17709.4731933496	24094.8654231589	19531.2750163066	22708.9617494868	22196.9436648143	20061.3601040126	30705.6497135575	21304.3021531947	26889.3358065415	25653.6396468546	23365.7568438229	31754.8525454785	19117.3689813998	23782.8980023815	25406.5323999701	20640.4113004202	26477.2064362412	23067.1977711645	27837.5544363542	28143.0741452302	34026.7299907036	26617.6598519675	22218.0812787423	24255.054537575	27995.9960814554	20775.1241925759
GC_012	50551.2470939839	33014.5456821414	36642.3979286411	59426.6111452798	36685.9857651296	55416.1055370857	41265.3489809203	38178.5054757941	45109.748732315	44583.872758097	53826.9219549134	49240.4572115363	30644.3174236907	53642.7124232373	44380.323442554	58043.5821855114	41412.8410429783	38082.0277102123	57568.1769426817	42372.6243296856	48077.2482159429	54218.0917743877	45531.7964201887	49100.5170013516	39737.3583859624	52807.862073394	41931.7512266307	40116.0414510057	56996.5666180491	51151.5166556295	78950.8763889711	58078.2356300964	48162.181616423	70616.2114950371	63324.0873406022	85448.9986018501	52966.1220930318	39000.9898418522	71216.5071494092	57487.5259651135	73103.2143547625	63960.3532644033	68965.7261389647	77911.7282965592	94560.1721382993	73014.7558346467	62260.8381463756	60963.0164272337	77578.6804173073	57069.8285837373
