D8R1	D8R2	D8R3	M8R1	M8R2	M8R3	D24R1	D24R2	D24R3	M24R1	M24R2	M24R3
hsa-let-7a-5p	14.1493620972626	14.1493620972626	14.0554349046512	14.1493620972626	14.4638117533642	14.0554349046512	13.7877022898121	14.7170272645621	14.1493620972626	13.689303427601	14.7170272645621	14.4638117533642
hsa-let-7b-3p	4.91748403103185	4.68108283957069	3.96583090901895	4.27933837517907	4.28117125842474	4.45798884416482	4.36190685293195	4.22312696385586	4.37552934098053	4.03713136727878	4.20692435062184	4.30623088301883
hsa-let-7c-5p	7.13198403324127	7.32907099396235	7.22205936412147	7.64895836742105	7.27209574890077	7.53223752785698	7.4578132870896	7.95624639554174	7.32907099396235	7.15531749813951	7.76694603098575	7.67384669727333
hsa-let-7d-3p	9.7023352037327	9.10523040906895	8.86080782629688	9.14748174305728	8.65301162298069	9.02186995357041	8.65301162298069	8.69562825830658	9.04220525966142	8.96470282728091	8.58223331524708	8.86080782629688
hsa-let-7d-5p	9.44525255899709	9.20977433232208	9.44525255899709	9.44525255899709	9.1941756803383	9.41322599132006	8.99328639042566	9.61469394058899	9.27061459169699	9.10523040906895	9.49698676469739	9.44525255899709
hsa-let-7e-5p	10.8141959683574	11.2300967730172	11.2300967730172	10.8833228012878	11.0896186484705	11.0510578040215	10.8833228012878	11.2623967579386	10.685253081102	10.8833228012878	11.3223627409226	11.2300967730172
hsa-let-7f-1-3p	2.88083546594964	3.40952686550193	3.96583090901895	3.4505570946224	3.76751608958171	3.96583090901895	3.7932411212386	4.27933837517907	3.83614846325582	3.82131521963061	4.04982687258121	3.78436898462919
hsa-let-7g-3p	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	1.04614692036638	0.875138232714988	0.875138232714988	0.875138232714988	1.34428016901228	1.26272572344749	1.82987174974504
hsa-let-7i-3p	2.88083546594964	1.52869466134413	1.7625558768368	2.58423518285918	0.875138232714988	1.82987174974504	3.21876347740855	1.33051194724631	2.58423518285918	2.46369081894925	2.62166769086542	2.48298157461124
hsa-miR-100-3p	0.875138232714988	0.875138232714988	1.26272572344749	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	1.33051194724631	1.33051194724631	0.875138232714988	0.875138232714988	0.875138232714988
hsa-miR-101-3p	5.12909129960207	5.52235424834675	5.40575861247318	4.98799475243064	5.96595785646911	5.05582647003528	7.13198403324127	5.57321972060827	5.66986798496944	6.46174497987236	5.6532544715454	5.6192131199604
hsa-miR-10392-5p	1.7625558768368	2.10482789836135	1.94998608677607	0.875138232714988	1.63070003259882	1.96051506901073	2.02599726019076	1.33051194724631	1.33051194724631	1.34428016901228	1.59491174486591	1.33051194724631
hsa-miR-10395-3p	3.28552168446674	1.52869466134413	2.48298157461124	2.58423518285918	3.60261146559085	2.48298157461124	2.62166769086542	3.73556176961317	2.58423518285918	2.22984872934133	2.33331662357057	2.48298157461124
hsa-miR-10399-3p	6.38766697161242	5.69848794200163	5.66986798496944	5.71049438560978	5.51399879191772	5.71877370730099	6.49451297113613	5.84625228866166	5.54392001183942	6.05278093637974	5.50407431421884	5.71877370730099
hsa-miR-10399-5p	0.875138232714988	1.52869466134413	1.7625558768368	1.90203251529653	3.06490756437099	1.82987174974504	0.875138232714988	0.875138232714988	1.33051194724631	1.82987174974504	2.17644840448148	1.82987174974504
hsa-miR-103a-2-5p	0.875138232714988	2.10482789836135	1.26272572344749	0.875138232714988	0.875138232714988	1.04614692036638	2.62166769086542	0.875138232714988	1.33051194724631	1.34428016901228	0.875138232714988	1.33051194724631
hsa-miR-103a-3p	11.7333715094254	11.7333715094254	12.2872812142336	11.7333715094254	12.0318673873373	12.0318673873373	12.0318673873373	12.0318673873373	11.8782784033125	12.0318673873373	12.1869940574425	12.2872812142336
hsa-miR-10401-3p	3.28552168446674	2.78904916472938	2.60117442599377	2.58423518285918	1.63070003259882	1.96051506901073	2.02599726019076	2.44775761377635	2.33331662357057	2.22984872934133	0.875138232714988	2.48298157461124
hsa-miR-10523-5p	1.7625558768368	0.875138232714988	1.94998608677607	0.875138232714988	1.63070003259882	1.52869466134413	1.57733580900958	2.62166769086542	0.875138232714988	0.875138232714988	1.26272572344749	1.33051194724631
hsa-miR-10526-3p	2.44775761377635	0.875138232714988	2.22984872934133	2.58423518285918	2.30154069654657	1.96051506901073	2.02599726019076	1.33051194724631	1.82987174974504	1.34428016901228	1.26272572344749	2.22984872934133
hsa-miR-106a-5p	1.7625558768368	0.875138232714988	2.22984872934133	1.90203251529653	1.63070003259882	1.04614692036638	1.57733580900958	1.33051194724631	1.82987174974504	1.82987174974504	2.33331662357057	0.875138232714988
hsa-miR-106b-5p	4.57712085609895	5.14847559154555	5.49414983651996	4.98799475243064	5.82565609822797	4.91748403103185	6.10903907565428	5.2141201675553	4.86220848316247	6.17446758974174	5.3843064618909	5.24635169201743
hsa-miR-10b-5p	4.11374146386658	4.10134458873275	4.82126262400872	4.17930847232579	4.95878454633288	4.61977158243862	4.72910597953476	4.5665081619291	4.5665081619291	4.8950749738447	4.80221606801738	4.6740098931646
