D8R1	D24R3	D24R2	D8R3	D8R2	D24R1	M24R3	M8R2	M8R1	M8R3	M24R2	M24R1
A1BG-AS1	6.00359327880004	6.08321103649053	5.89262431383387	5.57136393495432	6.10841967827713	5.25030158027531	5.75642461895367	5.62747538314903	5.9771371243834	5.72916560906408	5.71466075734984	5.77944016229275
A4GALT	8.56666457887978	8.40457683870668	8.69639795867651	7.83572033743715	7.82015734780751	8.68241354747022	8.82381926487664	8.52722213885323	8.86465546803838	8.12685533672049	8.59761628071785	8.49031602462713
AACS	11.1505494007232	10.9247012005574	11.047734759547	11.0833810797682	10.937667215806	11.0249097262443	11.4224000466175	10.9543549025553	11.0041210811917	10.8056234622673	10.9791162216508	11.0024463566631
AARD	4.70417025365143	5.1972471072045	5.86656636801193	4.94884338941417	5.74688306004357	5.73521914369431	4.97230499150889	5.72712520199147	5.15040277584795	5.3078431557329	5.87522468106506	5.37024423069847
ABALON	6.02943551970461	6.97146425246919	7.20983624862311	5.30677683878635	5.50799335928382	7.03004118818225	6.21125200388758	5.97917056193144	6.45552980704749	5.69090339247109	7.26653516557278	6.97201764855765
ABCA2	10.330504368266	10.6098512167857	10.6752029354929	9.93757930926347	9.50027765248246	10.7079312356989	11.0823008556032	10.2313456587584	10.6501691477533	9.96800772478012	10.7567045816642	10.6887640294469
ABCA7	8.88680146522992	9.16507812617138	9.16727459673075	8.59692983165307	7.82542009224824	9.30783645866377	9.63439337488251	8.81000235066869	9.18225927194903	8.7894353170715	9.14947181035414	9.31441521833287
ABCB9	8.87349195937258	9.20322957252207	9.41821874343814	8.73608026015713	8.62305794109192	9.13303590773846	9.54821343496796	8.97329280001338	8.96523844439728	8.95709497783527	9.36016266734675	9.10236257903624
ABCC2	6.65291065514809	6.62428898653086	6.24240494390448	7.0101125354303	6.80565679755343	6.11358868881867	7.08791937770002	6.67969892928594	6.50455940409276	6.41915292728784	6.29400378325919	6.26350597549564
ABCF3	11.8276301409606	11.632174726298	11.6347865907132	11.6717039994659	11.7521316701253	11.5674760585495	11.9344132147762	11.7382849331652	11.6970234526687	11.4786584231034	11.6500803955695	11.5945781442829
ABHD11	10.0319230532733	9.66503718408199	9.68211665261416	9.79113858596669	9.82548756909371	9.63067805064559	9.92269016018797	9.85114114359075	9.9487941465022	9.59779075636341	9.66231139023984	9.60084987378282
ABHD14B	10.4290278462015	10.4600290432044	10.4134040030122	10.3573446875545	10.3915117964196	10.4859713895462	10.4400882497263	10.3054531687236	10.555021065148	10.0093574905337	10.3649681853176	10.3926506579207
ABHD17A	8.79895840267666	8.58937813221489	8.56110845316895	8.68706316514588	8.14488782240102	8.55552395342742	9.57597062421488	8.87445799918998	9.14154867567683	8.59534000723025	8.83071194311424	8.93092796481674
ABHD4	11.7487063291332	11.7769035590539	11.8545723186666	11.7830014874745	11.821206423659	11.8515529273854	12.11056748696	11.6460701121282	11.7473413243558	11.4918552647366	11.7796818159633	11.7535246967888
ABHD8	8.65519591386678	8.50918717220286	9.12178231291448	7.79495936424675	7.97409750754267	8.79520246300605	9.02855528107708	8.74528712993401	8.77238163015107	8.34953641515924	8.84046244059257	8.76467596524084
ABI3BP	6.44459460157843	5.86195548095667	5.9495022299439	6.36768145471159	6.48576249584769	6.37411438566954	5.82990142649404	6.13630895561153	6.18080697749043	6.31686600285566	6.10841967827713	6.26350597549564
ACACA	10.1877495750823	10.3393422410197	10.4111082623441	10.214114545263	10.0959910115401	10.4500241941898	10.2184697522832	9.9344565138291	9.95989090989752	10.0822260758138	10.3302964352358	10.3393422410197
ACADL	5.94303347638514	5.35250896367955	5.70877255231437	5.95066291594877	6.02943551970461	5.82690020973969	5.2732377951847	6.41966325707981	6.00359327880004	6.15582770029993	5.91497315529862	5.75642461895367
ACAP1	6.35422917936435	5.80553912389196	6.58613858329692	5.82990142649404	5.65855186052896	6.76146819431018	6.9275863974811	5.79705859221249	6.18080697749043	5.65683740350611	6.29400378325919	6.598754010735
ACAP3	10.7249945276169	10.8310187413827	10.8427362820222	10.4212242867081	9.90155481460727	10.7351069293876	11.3631119965961	10.7248388879224	11.1028455776788	10.473078300918	10.8583237824035	10.9795175733537
ACKR3	6.62879993710506	5.80553912389196	6.44459460157843	5.21928674528974	5.41583602589751	7.13668678663569	6.7253032399929	5.7612405821605	6.48996461083758	5.43947107116509	6.40183316384179	7.00154363422864
ACOT4	7.24744738834133	6.44082167530687	7.09365693171449	6.760852442863	7.32764262209083	6.88404111008593	6.35317992422285	6.8227669498617	7.02645615104472	6.87687324443136	6.84856765968561	7.17598203906142
ACOX2	8.13374082715719	8.08828954128424	8.04300482879084	7.97259670894364	8.01074357034568	7.89368683713326	8.46252707453905	7.86713011935352	7.96963731832403	7.65094260689177	7.98105548431461	7.93368751432801
ACP7	5.75642461895367	6.62428898653086	6.33882637818074	6.10487398473086	5.88899100407772	6.15461889824416	6.47854463553349	6.21542222481838	6.22996189877505	6.15582770029993	6.30429090586903	6.14896435648323
ACRV1	4.43322813551662	5.01099747698301	4.97532016095754	5.82990142649404	5.25188182655534	4.96340210170449	4.77882287922084	5.30677683878635	4.32823436205678	5.69090339247109	4.76107702377624	4.73707203071092
ACTA2	6.7253032399929	6.40125538876226	6.62329161218349	6.77511612652133	6.91573186364569	6.78477981167848	6.66897158594866	6.64098006749009	6.52100907342533	6.4618468295587	6.45552980704749	6.53666164815804
ACTA2-AS1	4.52001362666352	5.1972471072045	4.88862661602474	5.68785199666776	5.38546873163126	4.29784794070033	5.05514828433741	5.15040277584795	5.110175592383	5.63049694123485	4.86800090562968	4.8581013085347
ACTBP2	5.06089011566851	5.39153799821188	4.62835654832863	4.86305110708219	5.60367069578052	5.00432798600834	5.30677683878635	5.79705859221249	5.45006005225805	4.17629847334537	4.80655919892176	4.82737877941442
ADA	5.88899100407772	5.42216068422969	5.57978164273246	5.05873985590586	5.74688306004357	5.18392840224318	5.39863951547698	5.10601162059998	5.75377495116645	5.14634724069338	5.0565895961432	5.40528484412692
ADAM11	4.63528981144027	5.2769325210481	5.65141958097726	5.57136393495432	5.0213120048284	4.73707203071092	5.96054863421522	5.50799335928382	5.15040277584795	5.63049694123485	5.12071788649258	4.82737877941442
ADAM19	11.6909027854878	11.5197180020114	11.5928970389792	11.3594894696337	11.5942347794391	11.574815309885	11.4238223184357	11.5588230404124	11.6731335809667	11.1613401717168	11.5901544351262	11.477334209747
ADAM8	11.6508534892928	11.9851280269511	12.3129901668362	11.0693917938611	10.75356874931	12.1944923607375	12.5600371167013	11.6479668166049	12.0373412181657	11.2636133348954	12.2584393356096	12.2941738675772
ADAMTS9	9.71672118192106	9.5200443214192	9.56851504088634	9.21009615577496	9.31496985607089	9.74237056680711	9.72898606500689	9.10896640898263	9.63309147478294	9.07099356334179	9.33818118295402	9.53756445728546
ADAP2	5.37024423069847	5.30677683878635	4.93236105215029	5.15040277584795	5.77375684555455	4.96340210170449	5.93911154955813	5.10601162059998	4.94884338941417	5.40528484412692	5.4002587841011	5.40528484412692
ADCK1	6.13280382731585	6.35910037581992	6.00023176536404	6.10487398473086	6.34003518023651	6.00023176536404	6.4061367108482	5.45322054481811	6.20640595715141	5.63049694123485	6.08991288140901	5.85336526947953
ADGRF4	5.79705859221249	4.90119832722855	4.82737877941442	5.60367069578052	5.97917056193144	5.47887940612322	5.47887940612322	5.79705859221249	5.15040277584795	5.40528484412692	5.24649974612125	5.43465031151298
ADGRG2	7.09232263896983	6.85231236073812	6.82404651215368	6.93444195204862	7.34730493445057	6.86423052027811	6.86011663873803	6.9499552580706	6.47605325846625	6.8388289669685	6.98771992252625	6.77171511108141
ADORA1	5.48268124027727	5.39153799821188	5.30677683878635	4.97230499150889	4.98465313053608	5.79099860807673	5.57887711739438	4.36372733047389	5.6785581151224	4.55958621966594	5.37024423069847	5.65401677663151
ADPRH	5.8307700093553	5.56441590231924	5.70877255231437	5.10809360649149	5.71631051614169	5.45006005225805	5.45006005225805	6.07354460383296	5.89007494689382	5.69090339247109	5.46495997762021	5.54694216571987
ADRM1	12.3753510402482	12.3307203698952	12.5971168244235	11.8370367088445	11.900618256518	12.3369375013022	12.9482093867995	12.6472341843869	12.6741301459508	12.3360209411192	12.6082911188789	12.3984807547442
AFF1	11.9022759415275	11.7495096199884	11.7498714454041	11.9158461561682	11.7234541444601	11.7695657271282	11.7722012839705	11.6473270028075	11.7185916718478	11.7280200049233	11.6991000451144	11.7578866889397
AGMAT	7.82317848489652	7.09499122445915	7.24653341882643	7.58005799088137	8.1278412885219	7.45245551835886	6.93881895030954	7.61062567648895	7.60198570014308	7.62668061290489	6.98771992252625	6.96746232072156
AGPAT2	10.9337758336821	10.8310187413827	11.2305310145386	10.2206888924914	10.0868599613096	10.9551539849963	11.2540716211938	11.0347185210229	11.243922965279	10.6394138890238	11.0804284690095	11.0139381777386
AGPAT4	9.44322920504857	9.25465355717558	9.38112588095149	9.60342320631299	9.48179762078372	9.39506264210876	9.55386725598749	9.25337979697646	9.2635212735349	9.2648353147855	9.29172983141822	9.34817366891607
AGR2	7.71573580202418	9.37467757903417	9.06022879739768	10.1905199250452	9.98854926655009	8.41292835031542	9.83081646241808	9.49497997231719	7.8060890853155	9.62855409805202	8.16467443041111	7.76914577477709
AGRN	13.1003194553473	13.3492792222097	13.6116363417855	12.3458689694459	11.8649505572771	13.4092325060127	13.9281561686993	13.1912119521089	13.7230860141101	12.7674424449878	13.658177533816	13.6266996273173
AHCTF1P1	5.37024423069847	5.47887940612322	4.76107702377624	5.21928674528974	5.74688306004357	5.14463278367053	5.36342604671303	5.62747538314903	5.21120743515292	6.33775572656471	5.12071788649258	5.08632519231746
AHDC1	9.93280720458374	10.1216556455031	10.2902190618991	9.60798358458408	9.36604605197315	10.1479722816237	10.4302326668167	10.1185661691212	10.2964548789034	9.91248440695304	10.2576355696922	10.2146364734882
AIF1L	7.25810174985041	7.13668678663569	6.55625920866384	7.15492897590573	7.03493391615873	7.03004118818225	6.91573186364569	6.79248624079148	7.08291064759989	7.03152690886486	6.57672159456396	6.85750010880283
AJM1	7.31076357138935	7.54958210231699	8.01604964446219	6.65203919616362	6.28667659773757	7.66158813165943	7.55279856165293	7.55659013981511	7.50746122557286	7.02163767326166	7.88328492169109	7.94246469108104
AKAP9	11.1438117296831	12.2360368131084	11.4494660637432	11.9049229875	10.9945191631866	11.8576099303494	11.8836304375266	9.48917374991434	11.5550104562637	11.2944024802778	11.5148783731182	11.5696136303703
