D24R1	D24R2	D24R3	D48R1	D48R2	D48R3	D72R1	D72R2	D72R3	D8R1	D8R2	D8R3	M24R1	M24R2	M24R3	M48R1	M48R2	M48R3	M72R1	M72R2	M72R3	M8R1	M8R2	M8R3
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EFHD1	4.4059922540253	4.38676910330726	4.38992046281061	4.42146107892621	4.42169091042606	4.43661276057014	4.37873281854921	4.37742793731871	4.38882128848493	4.38724362158569	4.38852019182475	4.395956047187	4.37765338051618	4.36252358840546	4.40372347019792	4.37459025628433	4.37125314131953	4.39550439974911	3.11418709941291	4.37922793317361	4.43561138678325	4.37765338051618	2.63288834068767	4.38195528505985
DIABLO	4.16399543307724	4.12284140645474	4.04770277939954	4.15831749847075	4.18499109702461	4.16380369498951	4.21986436680777	4.12915366993843	4.19731679762858	4.13592137189577	4.1740540644786	4.18255426444303	4.20900946368955	4.13347432343425	4.08049677840295	4.17469813474386	4.21329631479343	4.19826135897122	4.14442063800624	4.2513778537462	4.0822878948932	4.19004046525153	2.63288834068767	4.01909797225778
BSG	4.23591890346825	4.22315243730544	4.21184500799333	1.84195730232941	4.21542914074896	3.84983391450173	4.13359845956341	4.23866310362565	3.64996054533114	4.18789760116103	4.20056255712622	4.21828088080775	2.59759237398924	4.21692639367002	3.04328829285108	4.2449610779771	3.6194219564337	2.63288834068767	2.63288834068767	4.23189490651785	3.86390514276016	3.54296403459263	3.5232146368425	4.21897020295667
TRIM38	3.70781908803758	3.8411100240434	3.7545637452852	3.87439885789362	3.75712202443571	3.89599802567975	3.73012395183701	3.69287450350494	3.74384009808364	3.87916905962253	3.86618057188825	3.85918671596928	3.89060646008727	3.54296403459263	3.86390514276016	3.87759765651497	3.71801563392693	3.67012938479159	3.89599802567975	3.84564209198139	3.91777861741858	2.80544034834145	3.63690972715873	3.6194219564337
PPP3R1	4.04065146441125	4.1207838249467	4.18967598772018	4.14385776872493	4.11837155954117	4.17267710454296	3.9932885979923	4.15279442233206	4.14241499034892	4.08346061880614	4.11133481377852	4.08805075256029	4.12215473385372	4.19210453897109	4.15622909372237	4.23237541747073	4.04118403272589	4.12734427667097	4.13847509971521	4.12064547038256	4.22070826889825	2.80544034834145	4.06845760152041	4.00439929051457
BRI3BP	4.03586844104039	4.04846012184171	4.0153111284394	4.01462486640169	4.03764959988283	4.16106908780332	3.67556996352425	3.96746173915187	3.82903603205849	4.01909797225778	4.00722427709217	3.9875823276034	4.00439929051457	4.01213360894145	3.99589417737471	3.99903696463181	3.96337549114144	3.84564209198139	3.98180014547247	3.98628069873779	3.99957672051572	4.02358825155208	2.63288834068767	4.01330398097051
FUNDC2	4.11790242763337	3.09327544493604	3.97540966188112	4.12334787061653	4.06214353919067	3.92764126617248	3.75295786926227	4.14426571922027	3.73012395183701	4.13955881249158	4.09986524339665	3.57954727165299	3.38328408953133	4.15000254131832	4.16278991702602	3.38328408953133	4.15615028505415	4.1564555397881	4.18156155636564	3.59682983900457	3.89915202638527	2.80544034834145	4.14618748181215	4.14139039730498
AKAP12	3.88626578225551	3.94447738370406	3.89281090640899	3.95205274402309	3.95236748316789	4.02066850846884	3.8615501069312	3.94601878640047	3.97905427589071	3.9452185905947	3.96022723573219	4.00679484732774	3.87759765651497	3.94045795784165	3.95488127855842	3.82752587405102	3.82903603205849	3.7762979587899	3.75157396443304	3.90466924536065	4.10223386825555	2.80544034834145	3.93007585074114	3.77982212333614
BOD1L1	4.00045323020286	3.98740324900427	3.94689215903685	3.95762733785654	4.00802502117338	4.08537260331364	3.92078854925395	3.93649625081458	4.02564677654468	3.91466081706065	4.01263897164976	3.99525127645399	3.90342819577509	3.9395302034371	4.01330398097051	3.90173433532222	3.78148403632111	3.95628551549232	4.00364933890681	4.01637054359609	4.13406504820415	2.80544034834145	3.91820556515142	3.93804267550659
PAK4	4.06473930226185	3.93617302548072	3.97136978410815	4.01127039199201	4.03976451920571	4.1191518786792	3.9556209565012	4.09697068032991	4.0472872202817	3.97201689266456	4.00075584517796	4.00121082911263	3.96840486982775	4.00121082911263	3.75157396443304	4.07159582751515	4.04470572280006	4.08420102105216	4.00867540804441	4.07579944694797	4.11810868148216	2.80544034834145	3.93896395463673	4.08139803810113
OARD1	4.07190589302666	4.06002495874352	4.12232161220128	4.10923120524715	4.10806931392284	4.08973106405579	4.06481496419395	4.12041794057466	4.07738290113367	4.09005977881239	4.0634060022597	3.94601878640047	4.10901030960578	4.12826187259696	4.06903560526317	4.11831387639643	3.88369113361108	4.10929815620543	4.02312645574091	4.0480557096601	4.09895565182499	2.80544034834145	4.11261299124942	3.85695305251717
AKAP9	3.95939952745812	3.95166906283039	3.94888894247394	4.17372437253259	3.84983391450173	4.10071123121436	3.82752587405102	3.86390514276016	3.99525127645399	3.94601878640047	3.97106785892883	3.97696898904088	3.93186200638977	3.97696898904088	4.01437492063196	3.97136978410815	4.00075584517796	3.93846616229894	3.77420273768941	3.9235247393687	4.11261299124942	2.80544034834145	3.9426438236879	3.87593476524018
